CERTIFICATIONID,NCIC,AGENCY,JUSTICE,TREASURY
"155,238",WI0680000,Waukesha County Sheriff's Office,"43,192",
"155,232",OHICE0400,DHS Bulk currency task force,,"24,174"
"155,231",WI0430000,Oneida County Sheriff's Department,"21,182",
"155,231",WIQNGCD26,Wisconsin National Guard,"6,650",
"155,212",IN0450000,LAKE COUNTY SHERIFF OFFICE,,743
"155,203",OH0570000,"MONTGOMERY COUNTY R.A.N.G.E. TASK FORCE DAYTON, OH","3,774",
"155,203",OH0570000,"MONTGOMERY COUNTY R.A.N.G.E. TASK FORCE DAYTON, OH",647,
"155,202",NY043013A,"Rockland County District Attorney Office, New City, NY","846,437",
"155,187",NY0060000,Chautauqua County Sheriff's Department,"1,845",
"155,183",CA0013700,Alameda County Narcotics Task Force,"18,295",
"155,156",CO0038100,Arapahoe County Sheriff's Office,987,
"155,124",NE0001068,PLATTE COUNTY,650,
"155,124",NE0009466,MADISON COUNTY,405,
"155,078",COEQ00065,Front Range Task Force,"14,256",
"155,056",WI0370000,Marathon County Sheriff's Office,"22,832",
"155,052",MN0620000,Ramsey County Sheriff Dept VCET,"5,000",
"155,037",WIEQ00076,"WAUKESHA COUNTY METRO DRUG UNIT (WAUKESHA, WI)","4,399",
"155,030",ARASP00ES,Arkansas State Police-Special,"20,535",
"155,017",WI0440000,"Oneida County Sheriff's Office, Rhinelander, WI 54501","15,899",
"155,009",OHEQ00316,"R.A.N.G.E. TASK FORCE, Montgomery County,Ohio",625,
"154,971",WA0312300,Snohomish County Regional Task Force,0,0
"154,969",MI6338900,Farmington Hills Police Department,"114,608",
"154,930",OHCLPD056,Northern Ohio Law Enforcement Task Force (City of Cleveland),"147,768",
"154,916",AR0720100,Fourth Judicial Task Force - Fayetteville,"7,405",
"154,913",CO0348000,Southwest Drug Task Force,"1,632",
"154,910",WA0341800,Thurston County Narcotics Task Force,"2,186",
"154,909",ARASP00ES,Arkansas State Police,"20,485",
"154,875",PA022013A,Dauphin County District Attorney's Office Drug Task Force,"10,000",
"154,868",MNICE0300,Immigration and Customs Enforcement (ICE),,"9,621"
"154,866",MNICE0300,Immigration and Customs Enforcement (ICE),,"9,621"
"154,865",MNICE0300,Immigration and Customs Enforcement (ICE),,"9,621"
"154,864",MNICE0300,Immigration and Customs Enforcement (ICE),,"9,621"
"154,863",MNICE0300,Immigration and Customs Enforcement (ICE),,"9,621"
"154,853",ARASP0000,Arkansas State Police,"34,664",
"154,830",NJ013013A,County of Monmouth,"4,881",
"154,813",AKAST0100,Alaska State Troopers,"26,747",
"154,809",CO0030000,Arapahoe County Sheriff's Office,897,
"154,776",AKAST0100,Alaska State Troopers,"4,711",
"154,764",COEQ00157,Northern Colorado Drug Task Force,"36,613",
"154,735",OHCLPD056,Northern Ohio Law Enforcement Task Force 64883.83,"64,884",
"154,716",NY0050100,Auburn Police Department,900,
"154,707",FL0060000,Broward Sheriff's Office,"5,476","8,639"
"154,673",NY030023A,District Attorney New York County,"20,000",
"154,641",CO0038100,South Metro Drug Task Force,"3,365",
"154,641",COEQ00065,Front Range Task Force,"14,256",
"154,618",OH0231600,Fairfield-Hocking Major Crimes Unit,"10,000",
"154,608",TX0610000,Denton County Sheriff's Department,"8,824",476
"154,571",OH0290000,Greene County Sheriff's Office,"114,546",
"154,550",PA0022900,Avalon Borough Police Department,"1,762",
"154,545",CO0348000,Southwest Drug Task Force,"3,675",
"154,540",OHEQ00081,"The Greater Warren County Drug Task Force, Lebanon, Ohio","100,000",
"154,537",FL0060000,"BROWARD COUNTY SHERIFF'S OFC (BROWARD COUNTY, FL)","12,750","10,076"
"154,514",MNEQ00244,West Metro Drug Task Force,"20,000",
"154,470",AKAST0100,"Alaska State Troopers, Fairbanks, Alaska","26,747",
"154,410",CO0230800,Two Rivers Drug Enforcement,"27,405",
"154,407",WI0570000,"Sauk County Sheriff's Department, Baraboo, WI","2,488",
"154,395",FL0440000,Monroe County Sheriffs,"50,000",
"154,394",WI0600000,WAUKESHA COUNTY SHERIFF,"21,995",
"154,330",MOEQ00221,Regional Computer Crimes Education and Enforcement Group,"78,347",
"154,325",WI0710011,LAKE WINNEBAGO AREA METROPOLITAN ENFORCEMENT GROUP-DRUG UNIT,"7,164",
"154,325",WIQNGCD26,WISCONSIN NATIONAL GUARD DRUG CONTROL PROGRAM,"6,100",
"154,313",CO0038100,South Metro Drug Task Force,449,
"154,302",NJ0170123,Salem County Prosecutor,"21,988",
"154,293",NY055013Y,Ulster County URGENT Task Force,"5,000",
"154,288",OH0250000,Franklin County Sheriff's Office,"33,716",
"154,283",OHCLPD056,Northern Ohio Law Enforcement Task Force,"139,301",
"154,276",WAEQ00208,South Snohomish County Narcotics Task Force,"11,668",
"154,273",MO0950000,St. Louis County Police Department,"12,979",
"154,260",FL0480010,Metropolitan Bureau of Investigations,882,"3,628"
"154,256",MOEQ00221,Regional Comouter Crimes Education and Enforcement Group,"83,555",
"154,255",MOEQ00221,Regional Computer Crime Edu & Enf Group-Police TF,"114,435",
"154,253",WAEQ00208,South Snohomish County Narcotics Task Force,"11,668",
"154,247",CO0230800,TRIDENT,"21,405",
"154,245",OHEQ00316,Regional Agencies Narcotics and Gun Enforcement Task Force,"1,250",
"154,211",OH0830000,"Warren County Sheriff's Office, West Chester OH","9,241",
"154,207",ARASP00ES,Arkansas State Police - Special,"1,000",
"154,200",CO0230800,TRIDENT,"15,405",
"154,199",NY009013A,Clinton County District Attorney,800,
"154,185",MN0620000,Ramsey County Sheriff's Office,"1,513",
"154,182",NYEQ00270,Wayne Net,"5,577",
"154,150",OH0090000,"Butler County Sheriff's Office Hamilton, Ohio","8,388",
"154,134",FL0480010,Metropolitan Bureau of Investigation,"3,021","6,059"
"154,122",OH0250000,Franklin County Sherrifs,"93,155",
"154,118",NY0060000,Southern Tier Regional Drug Task Force 15 E. Chautauqua St. Mayville NY 14757,"3,044",
"154,118",NY0060000,Chautauqua County DA 1 Erie St. Mayville NY 14757,"1,154",
"154,114",OH0250000,"Franklin County Sheriff's Office, Columbus, Ohio","27,440",
"154,101",GAGSP0000,Georgia State Patrol,796,
"154,096",NYICE11T3,Homeland Security Investigations,,"5,032"
"154,093",KY0400100,"FIVCO AREA DRUG TASK FORCE, FLATWOODS, KY","7,363",
"154,084",WIEQ00300,DODGE COUNTY DRUG TASK FORCE,"1,839",
"154,072",OH0470000,Lorain County Sheriff's Office,"5,535",
"154,049",NY0270400,GRANET,"63,928",
"154,037",CODPD0000,"Denver Police Department, Denver, Colorado","8,451",
"154,027",NY030023A,DISTRICT ATTORNEY'S OFFICE OF NEW YORK,"12,591",
"153,976",OHEQ00081,Warren County Drug Task Force,"2,945",
"153,975",WI0670000,Washington Co Sheriff's Department,506,
"153,958",MN0620000,Ramsey County Sheriff's Office,"15,371",
"153,951",WI0680000,Waukesha County Sheriff's Department,"10,204",
"153,942",GA0440000,DeKalb County Police Department,"62,480",
"153,921",GAGSP0001,Georgia Department of Public Safety,"12,816",
"153,914",TXEQ00209,North Texas HIDTA RISC Group,"1,056",
"153,913",TXEQ00209,North Texas HIDTA RISC Group,"15,198",
"153,909",ME0060000,HSI,,"53,813"
"153,904",NY0030600,Broome County SIU Task Force,"25,707",
"153,884",WI0670000,Washington County Sheriff's Dept.,651,
"153,878",OH0250000,Franklin County Sheriff's Office,"33,716",
"153,872",IL0990000,Will County Sheriffs Office,"4,000",
"153,856",WI0500000,Portage Co. Sheriff's Department,"1,088",
"153,851",AL0100000,Jefferson County Sheriff's Office,"45,111",
"153,824",MOEQ00221,RCCEEG,"81,943",
"153,824",MOSPD0024,St. Louis County Police Department,"12,979",
"153,821",OHEQ00081,WARREN COUNTY DRUG TASK FORCE,"42,358",
"153,806",NJ002023A,Bergen County Prosecutors Office,"24,800",
"153,764",WI0670000,Washington County Sheriff's Office,4,
"153,751",FL0520000,Pinellas County Sheriff's Office,"3,820","1,868"
"153,720",WI0600000,"Sheboygan County MEG Unit, Sheboygan, WI","8,500",
"153,699",MOEQ00221,Regional Computer Crime Edu &  Enf Group -Police TF,"7,324",
"153,670",VT0140200,Springfield Police Department,441,
"153,602",OH0290001,Greene County Agencies For Combined Enforcement,"572,732",
"153,583",AR0350500,Tri-County Drug Task Force,"2,063",
"153,582",NY055013Y,Ulster County Sheriff's Dept. Urgent unit,"15,000",
"153,529",FLEQ00213,S.F.M.L.T.F.,"35,424","7,632"
"153,500",MO0950000,St. Louis County Police Department,"12,979",
"153,482",OH0710000,Ross County Sheriff's Office,"5,045",
"153,479",WI0370000,Marathon County Sheriff's Department,"8,229",
"153,463",WI0600000,Sheboygan County Sheriffs Office,"1,000",
"153,457",WI0050000,Brown County,"7,804",
"153,451",ARASP00ES,Arkansas State Police/ Special State Asset Forfeiture,"15,000",
"153,417",MNEQ00244,Hennepin County Sheriff Office,"40,000",
"153,405",TX0792100,FORT BEND NARCOTICS TASK FORCE,"19,262",
"153,405",TXEQ00209,North Texas HIDTA RISC GRP,"15,986",918
"153,398",ARASP0100,ARKANSAS STATE POLICE,"19,184",
"153,383",OH0231600,Fairfield-Hocking Major Crimes Unit,"10,000",
"153,371",NJ017023A,Salem County Prosecutor's Office,"27,485",
"153,367",NB0800001,Seward County Sheriff's Office,,"28,449"
"153,360",ILEQ00052,State Line Area Narcotics Team,"19,027",
"153,354",WI0680000,Waukesha County Sheriff's Department,"4,273",
"153,322",CO0230800,TRIDENT,"21,405",
"153,282",TX0920400,Kilgore Police Department,"13,012",
"153,248",FL0640000,Volusia County Sheriff's Office,"7,731",
"153,234",FLEQ00213,South Florida Task Force/City of Coral Gables,"35,424","7,632"
"153,232",FLEQ00213,Coral Gables Police Department/Strike Force,"35,424","7,632"
"153,232",FLEQ00227,Ft. Lauderdale Police Department/SE Regional Task Force,"15,881",
"153,231",IL0161A00,viilage of sauk village police department,,1
"153,202",IL0571600,Illinois State Police Task Force 6,"4,000",
"153,167",CA0193800,City of La Verne/LA Impact,"53,813",
"153,119",IL0740000,Piatt County Sheriff's Office,723,
"153,075",FLEQ00213,SOUTH FLORIDA MONEY LAUNDERING STRIKE FORCE,"39,855","7,632"
"153,063",ILEQ00030,East Central Illinois Task Force,"3,110",
"153,045",FL0530000,Polk County Sheriff Office,"1,671",
"153,024",FL0590000,Seminole County Sheriff's Office,442,
"153,011",RIRSP0000,"RI State Police, No. Scituate, RI","9,168",
"152,995",TX0920400,City of Kilgore,"25,877",
"152,987",FLEQ00213,South Florida Money Laundering Task Force Coral Gables,,"13,349"
"152,987",FLEQ00213,South Florida Money Laundering Task Force Coral Gables,"53,262",
"152,981",MOEQ00221,RCCEEG,"1,454",
"152,974",MI8218200,Wayne County Sheriff's Office,"219,397",
"152,969",TXEQ00062,FORT WORTH DEA TASK FORCE,"304,126",
"152,946",TX0610000,DENTON COUNTY SHERIFF'S DEPARTMENT,"19,500",
"152,927",FL0060000,Broward Sheriff's Office,"53,858","14,940"
"152,880",CA0192KOX,L.A. INTERAGENCY METRO-POLICE APPREH CRIME TASK,"35,788",
"152,863",FL0670000,Washington County Sheriff's Office,"39,780",
"152,846",TX1230000,JEFFERSON COUNTY SHERIFF'S OFFICE,"17,482",
"152,840",FL0520000,Pinellas County Sheriff's Office,"19,764","14,842"
"152,825",FL0060000,Broward County Sheriff's Office,"38,606","4,540"
"152,825",FL0060300,Fort Lauderdale Police Department,"10,010",
"152,822",TX2201200,Fort Worth Police Department,"95,280",
"152,810",FL0130700,Monroe County Sheriff's Office,,"130,000"
"152,810",FLEQ00213,City of Coral Gables/Strike Force Trust Account,"137,327",
"152,809",FLEQ00213,South Florida Money Laundering Strike Task Force-City of Coral Gables Police,"123,848","14,795"
"152,804",FL0060000,Broward County Sheriffs Office,"10,065","14,867"
"152,804",FLEQ00213,South Florida Money Laundering Strike Force,"35,424","7,632"
"152,804",FLEQ00227,Southeast Regional Task Force,"10,010",
"152,798",TXEQ00209,North Texas HIDTA RISC,"7,489","10,318"
"152,794",FL0590000,Seminole County Sheriff's Office,442,
"152,793",FL0060000,"BROWARD SHERIFF'S OFFICE, FT LAUDERDALE, FL","73,953",
"152,793",FL0060300,"CITY OF FT LAUDERDALE P.D. FT LAUDERDALE, FL","16,960",
"152,789",FL04800I0,METROPOLITAN BUREAU OF INVESTIGATION,882,"3,628"
"152,786",FL0520000,Pinellas County Sheriff's Office,"19,764","14,842"
"152,784",CA0192KOX,LA Impact (Los Angeles Metropolitan Police Apprehension) - City of LaVerne,"47,863",
"152,781",FLEQ00213,SOUTH FLORIDA MONEY LAUNDERING STRIKE FORCE,"70,849","15,264"
"152,777",IDEQ00287,North Idaho Violent Crimes Task Force,"7,667",
"152,753",FL0060000,Broward Sheriff's Office (MBDTF),"44,118","4,540"
"152,753",FLEQ00227,Fort Lauderdale Police Department (South East Regional Task Force),"16,960",
"152,740",FL0060000,BROWARD SHERIFF'S OFFICE,"10,065","18,917"
"152,740",FL0060300,FORT LAUDERDALE POLICE DEPARTMENT,"16,865",
"152,739",AZ0072300,City of Phoenix,"8,895",
"152,739",MI8218200,Wayne County,"115,883",
"152,737",FL0130000,Monroe County Sheriff's Office,,"50,158"
"152,735",TX0610000,Denton County Sheriff Office,"7,300",
"152,733",CT0005400,Glastonbury,"217,483",
"152,731",MOEQ00221,Regional Computer Crime Education & Enf Group,"83,412",
"152,728",FL0530000,POLK COUNTY SHERIFF'S OFFICE,"1,672",
"152,715",TX2203600,DFW Airport,"64,267",
"152,715",TXEQ00062,Fort Worth DEA Taskforce,"1,677,270",
"152,715",TXEQ00209,North Texas HIDTA RISC,"5,040","7,128"
"152,710",TX174015A,Nacogdoches County District Attorney's Office,500,
"152,708",GAGSP0000,Georgia Department of Public Safety,"2,511","1,429"
"152,705",TX1810000,Orange County Sheriffs Office,,"7,509"
"152,703",TXEQ00062,Fort Worth DEA Task Force,"304,126",
"152,702",FL0640000,COUNTY OF VOLUSIA,"7,731",
"152,696",FL0060300,City of Fort Lauderdale,"16,865",
"152,692",FL0488001,MBI,"1,296","3,628"
"152,674",FL0480010,Metro Bureau of Investigation,882,"3,628"
"152,668",FL0060000,Broward Sheriff's Office,"129,532","14,940"
"152,668",FL0060300,"City of Fort Lauderdale, Florida","15,982",
"152,651",TXSPD0000,City of San Antonio Police Department,"40,268",
"152,643",FL0590000,Seminole County Sheriff's Office,442,
"152,638",TX0570700,DFW,"42,074",
"152,638",TX0571500,Tarrant County,"5,258",
"152,637",MI5076500,Sterling Heights Police Department,"2,272",
"152,637",MI6397597,Oakland County Narcotics Enforcement Team,"191,400",
"152,635",MI6316300,Oakland County Sheriff's Office,"17,655",
"152,619",FL0060000,"Broward Sheriff Office (MLTF, Metro Broward TF, Domestic Interdiction)","31,078","10,888"
"152,619",FLEQ00213,City of Coral Gables Police Department - (SFMLSF),"70,849","15,264"
"152,619",FLEQ00227,SouthEast Regional Task Force via City of Fort Lauderdale,"33,920",
"152,615",FL0480400,Metropolitan Bureau of Investigation,"7,480","31,431"
"152,611",GAGBI0310,South Georgia Drug Task Force,"48,182",
"152,606",FL0520000,Pinellas County Sheriff's Office (from 2013),"5,687",
"152,582",TXEQ00062,Ft. Worth DEA Task Force,"304,126",
"152,582",TXEQ00178,North TX HIDTA DEA Western Drug Squad,"286,720",
"152,577",FL0420000,Marion County Sheriff's Officer,"4,065",
"152,561",CA0192KOX,L.A. Impact,"59,803",174
"152,561",CA023013A,District Attorney's Countywide Asset Forfeiture Unit,"10,501",
"152,561",CA0301900,Santa Ana Police Department,,"19,990"
"152,561",CA0349496,California DOJ - Division of Law Enforcement,"3,143","10,140"
"152,561",CA0360000,San Bernardino County Sheriff's Department,"2,119",
"152,561",CA0360075,Inland Regional Narcotics Enforcement Team,"15,633",
"152,561",CAEQ00315,Mountain and Valley Marijuana Investigation Team,,"2,937"
"152,552",CA034013A,Sacramento County,"12,904",
"152,552",FL0060000,Broward County Sheriff's Office,"3,875",
"152,552",LA0260000,Jefferson Parish,394,
"152,551",FL0480010,Metropolitan Bureau of Investigation,882,"3,628"
"152,543",TX1810000,Orange County Sheriff's Office,,"7,509"
"152,541",FL0060000,Broward County Sheriff's Office,"9,740","14,172"
"152,540",TX0920400,"DEA Task Force - Kilgore, Tx Police Department","13,012",
"152,528",FL0060000,BROWARD SHERIFF'S OFFICE,"8,751","1,120"
"152,523",FLEQ00213,City of Coral Gables Police Strike Force,"22,812","1,914"
"152,503",FL0010000,Alachua County Sheriff's Office,"115,839","12,196"
"152,493",FLEQ00213,South Florida Money Laundering Strike Force - Miami Florida,"35,424","7,632"
"152,472",MOEQ00221,Regional Computer Crime Education & Enforcement Task Force,"47,929",
"152,461",FL0530000,Polk County Sheriff Office,"1,671",
"152,458",IDEQ00287,Kootenai County Sheriff's Department,"15,334",
"152,446",FL0060000,Broward County Sheriff's Office,"9,740","10,076"
"152,441",TX1810000,Orange County Sheriff's Office,,"7,509"
"152,438",FL0590000,Seminole County Sheriff Office,442,
"152,437",FL0440000,Sheriff of Monroe County,"100,000","43,957"
"152,430",CA0349496,CA Department of Justice: Central Valley Marijuana Investigation Team,"10,000",
"152,424",FLSS318SO,Secret Service  (See Attached),,"2,200"
"152,423",FLEQ00227,SE Regional Task Force,"10,010",
"152,417",FL0520000,Pinellas County Sheriff Office,"19,764","14,842"
"152,411",GA0560000,Fayette County Sheriff's Department,"27,158",
"152,408",TX235015A,Victoria County Texas Criminal District Attorney,"53,443",
"152,407",CO0010400,Thornton Police Department,,"10,770"
"152,404",IL0811800,ILINOIS STATE POLICE-QUAD CITY MEG,947,
"152,401",WV0203600,"City of Charleston- MDENT Charleston, WV","7,977",
"152,397",FL0060000,"Broward Sheriff's Office, Fort Lauderdale, Florida","8,751","1,120"
"152,396",TX2200900,Euless Police Department,"6,618",
"152,375",FL0130200,City of Coral Gables Police Department,,"519,524"
"152,372",FL0440000,Sheriff of Monroe County,"124,000",
"152,357",FL0590000,Seminole County Sheriff's Office,442,
"152,352",FL0060000,Broward Sheriff's Office,"44,118","4,540"
"152,341",FL0006000,Broward Sheriff's Office,593,"8,327"
"152,319",TXEQ00209,North Texas HIDTA RST Group,"10,365",
"152,290",FLEQ00213,South Florida Money Laundering Strike Force,"106,273","22,895"
"152,283",ARASP00ES,Arkansas State Police  - Special Forfeiture,"15,961",
"152,271",TXEQ00062,"Fort Worth DEA Task Force, Fort Worth, TX","15,181",
"152,270",FL0061000,CONTRACT BC SHERIFF'S OFFICE,"9,560","20,454"
"152,256",FLEQ00213,South Florida Money Laundering Strike Force,"12,613","5,718"
"152,241",FL0590000,Seminole County Sheriff's Office,442,
"152,224",TX057015A,Dallas County District Attorney,"47,210",
"152,216",TX1700100,Conroe Police Department,"5,242",
"152,207",FL0350000,Lake County Sheriff's Office,"8,209",
"152,202",TX1700100,Conroe Police Department,"5,242",
"152,178",TX1230000,Jefferson County Sheriff's Office,"17,482",
"152,175",TX0610000,Denton County Sheriff's Office,"9,500",
"152,170",TX2340000,Van Zandt County Criminal District Attorney,"8,498",
"152,149",VTVSP0000,Vermont Department of Public Safety,"2,581",
"152,148",VTSIR0000,Vermont Department of Public Safety,"1,941",
"152,147",MI730013A,Michigan State Police,"18,595",
"152,145",VTVSP0000,Vermont Department of Public Safety,376,
"152,144",VTVSP0000,Vermont Department of Public Safety,175,
"152,143",VTVSP0000,Vermont Department of Public Safety,"2,848",
"152,139",FL5200000,Pinellas County Sheriff's Office,289,"1,868"
"152,125",VTVSP0000,Vermont Drug Task Force,"1,290",
"152,116",FL0590000,Seminole County Sheriff's Office,442,
"152,114",TX1810000,Orange County Sheriff's Office,,"7,509"
"152,111",TX0610000,Denton County Sheriff's Office,"28,200",
"152,056",IAEQ00184,Johnson County Multi Agency Task Force,"7,632",
"152,008",VAVSP0000,VIRGINIA STATE POLICE,"59,843",
"152,005",MA000525A,"Office of the District Attorney - Essex County, MA","35,107",
"151,991",FL0060000,Broward Sheriff's Office,"9,740","10,400"
"151,991",FL0060300,City of Fort Lauderdale,"10,016",
"151,991",FLEQ00213,South FL Strike Task Force,"8,715",
"151,985",TX0610000,Denton County Sheriff's Office,"17,300",
"151,976",FL0481700,Metropolitan Bureau of Investigation,"25,932","63,315"
"151,976",FL0590000,Seminole County Sheriff's Office,"5,000",
"151,967",VAVSP0000,Virginia State Police,"10,964",
"151,942",CTCSP0000,Connecticut Department of Emergency Services & Public Protection,"80,892",
"151,889",MAMSP6900,Northwestern District Attorney's Office,403,
"151,876",FL0640000,Volusia County Sheriffs Office,"7,731",
"151,860",CA0072900,Central Contra Costa County Narcotic Enforcement Team,"12,503",
"151,851",MO0810000,Phelps County Sheriff's Department,"50,468",
"151,817",MI8218200,Wayne County Sheriff's Office,"252,670",
"151,817",MI8218200,Previous account under WCSO,"458,538",
"151,805",TX0610000,"Denton County Sheriff's Office, Denton, TX","22,800",
"151,765",IAEQ00184,Johnson County Multi-Agency Drug Task Force,"4,912",
"151,737",IDFBICO00,North Idaho Violent Crimes Task Force,"3,834",
"151,716",TX1230000,Jefferson County Sheriff's Office,"10,137",
"151,711",FL0060000,Broward County Sheriff's Office,"3,651","3,787"
"151,694",FLEQ00213,South Florida Money Laundering Task Force,"8,715",
"151,652",MSICE0000,ICE,,"4,778"
"151,640",AL0010000,Hoover Police Department,"113,362",
"151,581",FL0640000,Volusia County Sheriffs Office,"7,731",
"151,542",TXEQ00209,"North Texas HIDTA, Irving, Texas",210,
"151,523",FL0480010,Metropolitan Bureau of Investigation,882,"2,229"
"151,477",CA0190036,LOS ANGELES COUNTY SHERIFF'S DEPARTMENT,"68,210",
"151,458",TX101015A,HARRIS COUNTY DISTRICT ATTORNEY,,"9,753"
"151,426",TX244015A,46th Judicial District Attorney's Office,"5,840",
"151,395",WVDOA0100,USDA Forest Service,,"1,486"
"151,381",TX240015A,Webb County 49th Judicial District Attorney,"3,000",
"151,313",IAEQ00184,Johnson County Multi-Agency Drug Task Force,"7,632",
"151,279",VTVSP0000,Vermont State Police,875,
"151,265",CA0072800,Central Contra Costa Narc TF,"12,503",
"151,264",TX1810000,"Orange County Sheriff, Orange, TX",,"7,509"
"151,263",FL0380000,Levy County Sheriff's Department,"20,981",
"151,213",VA111021A,Peninsula Association of Commonwealth attorneyâ??s offices,123,
"151,184",VAEQ07502,Northern Virginia Regional Gang Task Force,"7,636",
"151,169",TX0920400,City of Kilgore Police Department,"25,877",
"151,086",WV0351000,Ohio Valley Drug and Violent Crime Task Force,"20,397",
"151,085",NY051013A,SUFFOLK COUNTY DISTRICT ATTORNEY,"21,755",
"151,069",TX2200000,Tarrant County Sheriffs Department,"3,091",
"151,054",CAEQ00315,Mountain and Valley Marijuana Investigation Team,"4,702","20,202"
"151,028",TN0792000,WEST TN DRUG TASK FORCE,"13,569",
"150,997",NV0160005,"Washoe County, Carson City, Nevada","105,718",
"150,995",AZICE0000,"U.S.Immigration and Customs Enforcement, Phoenix, AZ",,"5,189"
"150,945",WV0230900,US 119 DRUG AND VIOLENT CRIMES TASK FORCE,"1,210",
"150,903",WV0200200,City of Charleston,"4,001",
"150,903",WV0230900,U.S. 119 Task Force,"3,630",
"150,876",AKAST0100,State of Alaska - Department of Public Safety,175,
"150,868",GA0560000,Fayette County Sheriff's Office,"27,245",
"150,865",VA111021A,Peninsula Association of Commonwealth's Attorney,"6,578",
"150,795",NY030023A,"District Attorney New York County, New York, NY",,"162,911"
"150,795",NY030043J,"Office of Special Narcotics, New York, NY","472,009","33,099"
"150,790",FL0010000,Alachua County Sheriff's Office,"60,508",
"150,790",FL0060000,Broward County Sheriff's Office,"28,841","3,979"
"150,790",FL0500000,Palm Beach County Sheriff's Office,"2,631",
"150,770",WV0203600,Metropolitan Drug Enforcement Network Team,"65,606",
"150,763",VA0750300,Prince William county Police Dept VA,"17,407","3,979"
"150,735",VAVSP0000,Virginia State Police,"26,797",
"150,693",MI8218200,Wayne County Sheriff's Department,"119,618",
"150,686",CA0360075,Inland Regional Narcotics Enforcement Team (IRNET),"1,838",
"150,685",CA0190036,Los Angeles County Sheriff's Department,"3,193",
"150,647",MD0130000,Harford County Sheriff's Office,"1,500",
"150,645",MD0130000,Harford County Sheriff's Office,"1,200",
"150,614",CA0570700,YONET-Yolo County Narcotic Enforcement Team,"4,161","5,169"
"150,606",PA0090100,Bensalem,"314,000",
"150,577",CA0300045,Regional Narcotics Suppression Program,"174,367",
"150,541",AZ0110000,Pinal County Sheriff's Office,,"11,375"
"150,525",KY0100400,FIVCO / F.A.D.E Task Force,"6,515",
"150,522",CA1900360,Los Angeles Sheriff's Department,"5,000",
"150,517",WV0200200,Charleston (wv) Police Dept.--Metro Drug Enforcement Team--M Dent,"48,047",
"150,478",AZ0110000,Pinal County Sheriff's Office,"5,687",
"150,462",CA0192KOX,L.A. IMPACT,"119,438",
"150,441",KY0100400,FIVCO/FADE Task Force,"7,170",
"150,435",VA0000001,Virginia State Police,"26,797",
"150,435",VA1110000,Hampton,"1,178",
"150,392",CA0190036,Los Angeles County Sheriff's Office,,
"150,390",MI6397597,OAKLAND COUNTY NARCOTICS ENFORCEMENT TEAM,,"44,349"
"150,388",CA0190036,Los Angeles County Sheriff,"70,812",
"150,388",CA0193800,LA Impact,"71,750",
"150,381",CA0450000,Shasta County Sheriff's office,"21,958",
"150,377",AKAST0100,Alaska State Public Safet,294,
"150,373",CA0360075,"IRNET / San Bernardino Co. Sheriff's 655 E. 3rd. St., San Bernardino, CA 92415","104,823",
"150,372",CA034013A,Sacramento County District Attorney's Office,"143,835",
"150,372",CA0349496,California Department of Justice - Division of Law Enforcement,"65,002",
"150,366",CA0300045,Orange County Regional Narcotics Suppression Program,"237,530",
"150,329",KY0567600,Metro Narcotics Task Force,"571,643",
"150,328",MOEQ00221,Regional Computer Crimes Education and Enforcement Group,"77,471",
"150,324",GAQNGCD02,"GA National Guard Counterdrug Task Force, Dobbins ARB, GA30069","10,750",
"150,322",IAEQ00184,Johnson County Multi-Agency Task Force,"25,947",
"150,321",CA0349496,California Dept of Justice - Division of Law Enforcement,"1,752",
"150,320",GAGSP0000,Georgia State Patrol,"2,138",
"150,315",WV0230900,U.S. 119 Task Force,"1,210",
"150,306",CA0560000,Shasta County Sheriff's Office,"10,788",
"150,303",NY030032A,New York Couty District Attorney,36,"60,652"
"150,303",NY030043J,NYC Special Narcotics Prosecutor,"234,023","16,438"
"150,297",CA0501800,Stanislaus  Drug Enforcement Agency,"5,000",
"150,284",MA009015A,MIDDLESEX DISTRICT ATTORNEY,"15,717",
"150,282",MT0560100,"City of Billings, Billings Police, Billings MT","10,036",
"150,276",MD0130000,Harford County Sheriff's Office,"6,600",
"150,268",FL0060000,Broward County Sheriff's Office,"28,841","3,979"
"150,268",FL0420000,Marion County Sheriff's Office,"4,065",
"150,268",FL0440000,Monroe County Sheriff's Office,,"11,297"
"150,268",FL0530000,Polk County Sheriff's Office,725,
"150,268",FL0640000,Volusia County Sheriff's Office,"8,590",
"150,264",MAEQ00183,Suburban Middlesex County Drug Task Force,"2,125",
"150,259",MO0108000,Texas County Sheriffs Department,"1,000",
"150,259",MO0810000,Phelps County Sheriff Department,"3,000",
"150,259",MO081013A,Phelps County Prosecutor,"2,400",
"150,256",MO0950000,ST LOUIS COUNTY MULTI JURIDICTIONAL DRUG TASK FORCE,"17,734",
"150,241",CAEQ00035,SAN MATEO COUNTY NARCOTICS TASK FORCE,"338,051",
"150,240",CA0360075,INLAND REGIONAL NARCOTICS ENFORCEMENT TEAM(IRNET),"2,434,937",
"150,239",NV0020100,LAS VEGAS METROPOLITAN P.D.,"15,899",
"150,200",SC0194801,ICEJOPS,,"1,600"
"150,192",CA0192KOX,LA IMPACT,"33,920",
"150,188",CA0349496,"California Department of Justice, BNE","47,787","144,226"
"150,187",CA0190036,Los Angeles Sheriff's Department,"70,812",
