CERTIFICATIONID,NCIC,AGENCY,JUSTICE,TREASURY
"149,704",CA0192K0K,Los Angeles Metro Police Apprehension Team (LA IMPACT),"33,169","10,511"
"149,704",CA0194100,Long Beach Police Dept,"1,296",
"149,704",CA0300200,Brea Police Dept,"63,716","193,292"
"149,704",CA0300500,Cypress Police Dept,"47,787","144,496"
"149,704",CA0301200,La Habra Police Dept,"47,787","144,235"
"149,704",CA0330000,Riverside County Sheriff's Office,800,
"149,704",CA0330200,Beaumont Police Dept,800,
"149,704",CA0331300,Riverside Police Dept,"2,401",
"149,704",CA0331500,Corona Police Dept,800,
"149,704",CA0334200,Murrieta Police Dept,800,
"149,704",CA034015Y,Western States Information Network,"10,619","98,814"
"149,704",CA0340356,CA Dept of Correction and Rehabilitation,449,
"149,704",CA0343000,CA Dept of Alcoholic Beverage Control,800,
"149,704",CA0349965,Calififornia Highway Patrol,"3,143",946
"149,704",CA0361000,San Bernadino Police Dept,"1,601",
"149,704",CA0471400,Siskiyou County Interagency TF,"8,817",
"149,704",CA0540700,Visalia Police Dept,"20,000",
"149,704",CA0570336,Yolo County DA,"6,646",
"149,704",CAEQ00281,Inland Crackdown Allied TF,"168,938",
"149,704",CAEQ00305,Orange County Proactive Meth Lab Investigation,"11,111",
"149,704",CAEQ00315,Mountain and Valley Marijuana Investigation Team,"65,002",
"149,704",CAEQ00317,Placer County District Attorney,449,
"149,704",CAEQ01001,Fresno Meth Task Force,"45,879",
"149,704",CAEQ34001,North State Marijuana Investigation Team,"1,752",
"149,704",CAQNGCD27,California National Guard,"10,000",
"149,682",NM0230600,Rio Rancho Police Department,"1,000",
"149,657",CA0191000,"Beverly Hills Police Department, Beverly Hills, CA",0,"10,533"
"149,655",CA0092200,El Segundo Police Department,"47,863",
"149,655",CA0190036,Los Angeles Sheriff's Department,"389,113",
"149,655",CA0190100,Alhambra Police Department,"35,788",
"149,655",CA019013G,Los Angeles County Probation,"83,038",
"149,655",CA0190200,Arcadia Police Department,"23,538",
"149,655",CA0190600,Baldwin Park Police Department,"35,788",
"149,655",CA0190900,Bell Gardens Police Department,"71,750",
"149,655",CA0191800,Culver City Police Department,"75,836",
"149,655",CA0192000,Downey Police Department,"53,813",
"149,655",CA0192400,Gardena Police Department,"71,750",
"149,655",CA0192500,Glendale Police Department,"35,788",
"149,655",CA0192600,Glendora Police Department,"71,750",
"149,655",CA0192800,Hawthorne Police Department,"119,438",
"149,655",CA0192900,Hermosa Beach Police Department,"35,788",
"149,655",CA0193100,Huntington Park Police Department,"50,549",
"149,655",CA0193300,Inglewood Police Department,"35,788",
"149,655",CA0193800,La Verne Police Department,"217,646",
"149,655",CA0194100,Long Beach Police Department,"53,813",
"149,655",CA0194200,Los Angeles Police Department,"634,813",
"149,655",CA0194400,Manhattan Beach Police Department,"11,900",
"149,655",CA0194600,Monrovia Police Department,"35,788",
"149,655",CA0194800,Monterey Park Police Department,"35,788",
"149,655",CA0195300,Pasadena Police Department,"173,600",
"149,655",CA0195500,Pomona Police Department,"35,788",
"149,655",CA0195600,Redondo Beach Police Department,"35,788",
"149,655",CA0196200,San Gabriel Police Department,"35,788",
"149,655",CA0196500,Santa Monica Police Department,"47,163",
"149,655",CA0196700,Signal Hill Police Department,"51,858",
"149,655",CA0199901,California Highway Patrol,"35,788",
"149,655",CA0340496,California Bureau of Investigation,"122,588",
"149,649",AZ0100000,Pima County Sheriff's Department,,"208,456"
"149,649",AZ0101800,Counter Narcotics Alliance,,"60,773"
"149,619",NV0020300,Henderson Police Department,373,
"149,607",WV0030000,Boone County Sheriff's Department,"1,210",
"149,607",WV0230000,Logan County Sheriff's Department,"1,210",
"149,607",WVWSP0007,West Virginia State Police,"3,630",
"149,588",SC0080600,Hanahan Police Department,"3,649",
"149,565",TN0220100,City of Dickson Police Department,"32,423",
"149,532",GA018015A,Towaliga Circuit DA,"2,023",
"149,532",GA025015A,Chatham County DA,597,
"149,532",GA031015A,Clayton County DA,"2,138",
"149,532",GA033015A,Cobb County DA,"2,511","1,429"
"149,532",GA038015A,Coweta Judicial Circuit,"2,013",
"149,532",GA044015A,Dekalb County DA,"5,787",
"149,532",GA048015A,Douglas County,796,
"149,532",GA056015A,Griffin Judicial Circuit DA,"4,098",
"149,532",GA0600000,Fulton County SO,"2,539",
"149,532",GA060015A,Fulton County DA,"4,127","2,410"
"149,532",GA067015A,Gwinnett County DA,"15,140",
"149,532",GA071015A,Haralson County (Tallapoosa Judicial Circuit),"2,624",
"149,532",GA089015A,Liberty County (Atlantic Judicial Circuit),"4,637",
"149,532",GA089015A,Atlantic JC DA,597,
"149,511",AZ0081100,Mohave Area General Narcotics Enforcement Team,"32,756",
"149,497",CAEQ00315,MAVMIT,"143,835",
"149,418",CA034015Y,WSIN,"4,000",
"149,418",OR0340000,Washington County,"6,000",
"149,381",IL0450100,"Aurora Police Department, Aurora, IL","1,299",
"149,381",IL0451400,"St. Charles Police Department, St. Charles, IL","1,299",
"149,381",IL0560100,"Algonquin Police Department, Algonquin, IL","1,299",
"149,381",IL0560300,"Crystal Lake Police Department, Crystal Lake, IL","1,299",
"149,357",CA0490015,Town of Windsor PD,"31,700",
"149,319",CA054023A,Tulare County District Attorney,"5,349",
"149,307",CA043013G,Santa Clara County Probation Department,"15,213","73,479"
"149,278",CAEQ00109,SOUTHERN ALAMEDA COUNTY MAJOR CRIMES TASK FORCE,"21,286",
"149,098",GA0690010,Hall County MANS,"10,750",
"149,098",GAEQ00047,Mountain NCIS Team,"10,084",
"149,079",MD0130100,Aberdeen Police Department,"10,000",
"149,059",IL0160600,Bedford Park Police Department,"12,313",
"149,059",IL0161200,Broadview Police Department,"12,313",
"149,059",IL0162300,Countryside Police Department,"12,313",
"149,059",IL0162700,Dolton Police Department,"12,313",
"149,059",IL0167100,Morton Grove Police Department,"12,313",
"149,059",IL0167500,Northbrook Police Department,"12,313",
"149,059",IL0169100,Posen Police Department,"12,313",
"149,059",ILCPD0000,Chicago Police Department,"12,313",
"149,041",OHEQ00304,Ohio Hidta,"105,165","31,970"
"149,018",CA0211700,Central Marin Police Authority,"6,072",
"148,975",AR0040300,SILOAM SPRINGS POLICE DEPARTMENT,"4,200",
"148,975",AR0140000,COLUMBIA COUNTY SHERIFF'S OFFICE,"1,000",
"148,975",AR0140400,13TH JUDICIAL DISTRICT,"2,500",
"148,975",AR0160800,2ND JUDICIAL DISTRICT,"31,492",
"148,975",AR0170000,CRAWFORD COUNTY SHERIFF'S OFFICE,"20,535",
"148,975",AR0200000,DALLAS COUNTY SHERIFF'S OFFICE,"28,849",
"148,975",AR0230900,20TH JUDICIAL DISTRICT,"15,961",
"148,975",AR0320000,INDEPENDENCE COUNTY SHERIFF'S OFFICE,"10,172",
"148,975",AR0350500,TRI-COUNTY DTF,"10,325",
"148,975",AR0440000,MADISON COUNTY SHERIFF'S OFFICE,"19,184",
"148,975",AR0460100,TEXARKANA AR POLICE DEPARTMENT,"7,534",
"148,975",AR0470000,MISSISSIPPI COUNTY SHERIFF'S OFFICE,"15,000",
"148,975",AR0600000,PULASKI COUNTY SHERIFF'S OFFICE,"26,152",
"148,975",AR0600200,CITY OF LITTLE ROCK POLICE DEPARTMENT,"29,050",
"148,975",AR0600300,NORTH LITTLE ROCK POLICE DEPARTMENT,"25,195",
"148,975",AR0630100,BENTON POLICE DEPARTMENT,"20,485",
"148,975",AR0660100,FORT SMITH POLICE DEPARTMENT,"35,640",
"148,975",AR066015A,12TH JUDICIAL DISTRICT,"20,520",
"148,975",AR0721100,4TH JUDICIAL DISTRICT,"34,664",
"148,975",ARASP0000,ARKANSAS STATE POLICE,"111,953",
"148,972",VA0430300,DEPT OF ALCOHOL BEVERAGE CONTROL,358,
"148,972",VA0580000,MECKLENBURG COUNTY SHERIFFS OFFICE,358,
"148,972",VA0580200,CHASE CITY POLICE DEPARTMENT,358,
"148,972",VA0580300,CLARKSVILLE POLICE DEPARTMENT,358,
"148,972",VA0580500,TOWN OF SOUTH HILL POLICE DEPARTMENT,358,
"148,972",VA0820000,COUNTY OF ROCKINGHAM SHERIFFS OFFICE,"59,843",
"148,972",VA1110000,CITY OF HAMPTON POLICE DEPARTMENT,"26,797",
"148,972",VA111021A,CITY OF HAMPTON PENINSULA ASSOC OF COMMONWEALTH ATTORNEYS,"10,964",
"148,972",VA1120000,CITY OF HARRISONBURG POLICE DEPARTMENT,"59,843",
"148,972",VA112011A,COUNTY OF ROCKINGHAM COMMONWEALTH ATTORNEY,"59,843",
"148,972",VA1160000,CITY OF NEWPORT NEWS POLICE DEPARTMENT,"26,797",
"148,946",KY0240100,Hopkinsville Police Department,0,"2,789"
"148,946",KY0720000,Lyon County Sheriff's Department,0,"1,395"
"148,946",KY0720200,Eddyville Police Department,0,"1,395"
"148,885",CA0471400,SISKIYOU NARCOTICS TASK FORCE,"9,523",
"148,875",CT0016400,Windsor Police Department,"2,768",
"148,862",AZ0079900,ARIZONA DEPT OF PUBLIC SAFETY,0,"11,375"
"148,862",AZ0110300,COOLIDGE POLICE DEPARTMENT,0,"5,687"
"148,862",AZ0110500,ELOY POLICE DEPARTMENT,0,"5,687"
"148,862",AZ0110700,FLORENCE POLICE DEPARTMENT,0,"5,687"
"148,862",AZ0111700,MARICOPA POLICE DEPARTMENT,0,"5,687"
"148,841",TN0820600,2ND JUDICIAL DISTRICT DRUG FUND,"9,800",
"148,810",MA0052500,Peabody Police Department,"35,107",
"148,810",MAMSP0000,Massachusetts State Police,,"120,022"
"148,758",CA0130200,Calexico Police Department,0,"40,859"
"148,758",CA0330000,Riverside County Sheriff's Department,0,"40,859"
"148,758",CA0330200,Beaumont Police Department,0,"40,859"
"148,758",CA0331300,Riverside Police Department,0,"122,576"
"148,758",CA0331500,Corona Police Department,0,"40,859"
"148,758",CA0332A00,California Alcoholic Beverage Control,0,"40,859"
"148,758",CA0334200,Murrieta Police Department,0,"40,859"
"148,758",CA034015Y,Western States Information Network (WSIN),0,"1,000"
"148,758",CA0349496,California Department of Justice,0,"12,790"
"148,758",CA0361000,San Bernardino Police Department,0,"81,717"
"148,726",MT0250100,Department of Justice DCI,"34,010","11,712"
"148,726",MT0560000,Yellowstone County Sheriff's Office,"64,061",
"148,632",IL0200000,DEWITT COUNTY SHERIFF'S OFFICE,"4,000",
"148,632",IL0999100,WILL COUNTY CPAT,"2,800",
"148,597",GA0180000,Butts  County Sheriff's Office,"12,088",
"148,591",IA0380000,Grundy County Sheriff's Office,"1,000",
"148,591",IA0420000,Hardin County Sheriff's Office,"1,000",
"148,591",IA0640100,Marshalltown Police Department,"3,000",
"148,591",IA0860000,Tama County Sheriff's Office,"1,000",
"148,548",GA0920000,Lowndes County Sheriff's Office,"138,117",
"148,520",GA0560100,Fayetteville Police Department,"27,015",
"148,520",GA0560200,Peachtree City Police Department,"27,015",
"148,520",GA0560300,Tyrone Police Department,"27,015",
"148,483",CA0430000,Santa Clara County Sheriff's Office,0,"10,000"
"148,471",IA0772000,"Mid Iowa Narcotics Enforcement, Urbandale, IA",641,
"148,397",CA048013A,Solano County District Attorney -FIREARMS COMPARISON MICROSCOPE,922,"30,000"
"148,397",CA0480700,VALLEJO POLICE DEPARTMENT -GUN BUY BACK PROGRAM,"18,665",
"148,386",CA0070000,"Office of the Sheriff, Contra Costa County","12,503",
"148,386",CA0070800,Pittsburg Police Department,"12,503",
"148,386",CA0070900,Pleasant Hill Police Department,"12,503",
"148,386",CA0071200,Walnut Creek Police Department,"12,503",
"148,386",CA0071400,Martinez Police Department,"12,503",
"148,386",CA0704000,San Ramon Police Department,"8,053",
"148,372",KY0220000,Carter County Sheriff's Department,"7,363",
"148,372",KY0220200,City of Olive Hill Police Department,"6,515",
"148,372",KY0450100,City of Flatwoods Police Department,"7,170",
"148,372",KY0450300,City of Raceland,"6,953",
"148,372",KY0450500,City of Russell Police Department,"12,169",
"148,372",KY0680100,City of Vanceburg Police Department,"5,844",
"148,370",VA1000000,Bristol VA Police Department,"20,799",
"148,370",VA1000100,Bristol VA Sheriff's Department,"58,840",
"148,324",NY052013A,Sullivan County District Attorney,"10,000",
"148,276",IA0080000,Boone County Sheriff,317,
"148,276",IA008013A,Boone County Attorney's Office,317,
"148,276",IA0850000,Ia Dept of Public Defense,317,
"148,276",IA0850100,Ames Police Dept,317,
"148,276",IA085013A,Story County Attorneys Office,316,
"148,276",IA0850400,Ia State University Police Dept,317,
"148,276",IANDE0000,Ia Division Narcotics Enforcemnet,317,
"148,276",IAOO80100,Boone Police Dept,317,
"148,267",OR0090700,Central Oregon Law Enforcement Services COLES/CODE,"53,079",
"148,253",NY0522000,Liberty Police Department,480,
"148,094",IA0770300,Des Moines Police Department,"17,598",
"147,979",WV0350000,OHIO COUNTY SHERIFF'S DEPARTMENT,"8,674",
"147,979",WV0350100,WHEELING POLICE DEPARTMENT,"20,239",
"147,652",CA0360000,San Bernardino County Sheriff's Department,"34,512",
"147,652",CA0360500,Montclair Police Department,"36,908",
"147,652",CAEQ00281,State Department of Justice/INCA,"19,621",
"147,554",TN0840500,Atoka Police Department,"21,945",
"147,330",TX0142400,Bell County Organized Crime Unit,303,
"147,292",IL0602900,METROPOLITAN ENFORCEMENT GROUP OF SOUTHWESTERN ILLINOIS,"5,700",
"146,939",IL0494000,Lake County Metropolitan Enforcement Group Membership,"12,600",
"146,762",GA0120300,Oconee Drug Task Force,"2,424",
"146,735",NY0590200,White Plains PD,"83,333",
"146,735",NY0590300,Mount Vernon PD,"83,333",
"146,735",NY0590400,New Rochelle PD,"83,333",
"146,735",NY0590600,Port Chester PD,"83,334",
"146,735",NY0590700,Yonker PD,"166,667",
"146,735",NYEQ00093,Westchester County PD,"250,000",
"146,568",SC007015J,14th Circuit Solicitors Office,0,"10,000"
"146,277",MN0580000,Pine County Sheriff's Office for ECDVOTF MNEQ01300,"3,186",
"145,859",IN0330000,Henry County Sheriff's Department,"59,841",
"145,533",NY0430000,Rockland County Sheriff's Department,"528,500",
"145,533",NY0432500,Village of Piermont,"62,669",
"145,533",NY0432600,South Nyack-Grandview Police Department,"47,750",
"145,533",NY0432900,Village Of Suffern,"186,630",
"145,517",IN0710100,Mishawaka  Poilce Department,"6,181",
"145,508",WI0670100,GERMANTOWN POLICE DEPT,"3,230",
"145,508",WI0670200,HARTFORD POLICE DEPT,63,
"145,508",WI0670400,WEST BEND POLICE DEPT,"2,560",
"145,508",WI0670500,SLINGER POLICE DEPT,17,
"145,508",WI0670700,JACKSON POLICE DEPT,17,
"145,474",NY0325000,Town of Whitestown Police Department,333,
"145,421",TX108015A,Hidalgo County District Attorney's Office,"50,000",
"145,421",TX1082000,Hidalgo County Constable Precinct 3,0,"10,000"
"145,421",TX1082600,McAllen Independent School District Police Department,0,"10,000"
"145,402",CO0010100,Aurora Police Department,"4,532",
"145,402",CO0030000,Arapahoe County Sheriff's Office,"4,532",
"145,402",CO0180000,Douglas County Sheriff's Office,"4,532",
"145,402",COCBI0008,Colorado Bureau of Investigations,"4,532",
"145,402",COEQ00065,Denver Police Department,"27,194",
"145,334",OH0180000,Cuyahoga County Sheriff,"28,000",
"145,334",OH0181500,Cleveland Heights Police,"56,000",
"145,334",OH0181800,Euclid Police,"28,000",
"145,334",OH0184800,Shaker Heights Police,"28,000",
"145,334",OH0185100,Strongsville Police,"14,000",
"145,334",OH0185200,University Heights Police,"14,000",
"145,334",OH0186500,RTA Police,"56,000",
"145,334",OH0186800,CMHA Police,"28,000",
"145,334",OHCLP0000,City of Cleveland Police,"112,000",
"145,296",OH0290000,Greene County Sheriff's Office,"160,079","48,201"
"145,289",CO0010100,Aurora Police Department,"75,575",
"145,277",MN02700C1,Hennepin County Sheriff's Office,"60,000",
"145,277",MN0271300,Mound Police Department,"30,000",
"145,277",MN0271500,Orono Police Department,"30,000",
"145,277",MN0273000,Medina Police Department,"30,000",
"145,277",MN0273700,West Hennepin Public Safety,"30,000",
"145,248",NJ0200400,Elizabeth Police Department,0,"45,264"
"145,218",MN0620400,Maplewood Police Department,"5,000",
"145,218",MN0620800,Roseville Police Department,"15,646",
"145,218",MN0621000,White Bear Lake Police Department,"5,000",
"145,169",NJ0020100,"Allendale P.D. Allendale, NJ",443,
"145,169",NJ0020500,"Carlstadt P.D. - Carlstadt, N.J.","1,627",
"145,169",NJ0021100,"Elmwood Park P.D. - Elmwood Park, N.J.","28,123",
"145,169",NJ0021400,"Emerson P.D. - Emerson, N.J.",553,
"145,169",NJ0021600,"Englewood Cliffs P.D.  - Englewood Cliffs, N.J.",678,
"145,169",NJ0021800,"Fairview P.D. - Fair Lawn, N.J.","6,595",
"145,169",NJ0022700,"Hillsdale P.D. - Hillsdale, N.J.","3,152",
"145,169",NJ0023200,"Lyndhurst P.D. - Lyndhurst, N.J.","2,910",
"145,169",NJ0023300,"Mahwah P.D. - Mahwah, N.J.","3,266",
"145,169",NJ0023800,"New Milford P.D. - New Milford, N.J.",666,
"145,169",NJ0024000,"Northvale P.D. - Northvale, N.J.","6,928",
"145,169",NJ0025100,"Ridgewood P.D. - Ridgewood, N.J.","1,131",
"145,169",NJ0025300,"River Vale P.D. - River Vale, N.J.","13,873",
"145,169",NJ0025400,"Rochelle Park P.D. - Rochelle Park, N.J.","4,042",
"145,169",NJ0025600,"Rutherford P.D. - Rutherford, N.J.","1,515",
"145,169",NJ0026400,"Waldwick P.D. - Waldwick, N.J.","4,712",
"145,169",NJ0026800,"Woodcliff Lake P.D. - Woodcliff Lake, N.J.",602,
"145,169",NJ0027100,"Bergen County P.D. - Hackensack, N.J.",685,
"145,158",NH0063800,Mason NH Police,"10,000",
"145,156",GA0180000,"Butts County Sheriff's Department - Forsyth, GA",0,"77,575"
"145,155",NJ0121400,NEW BRUNSWICK POLICE DEPARTMENT,0,"80,400"
"145,155",NJ1201200,MIDDLESEX COUNTY SHERIFF'S DEPARTMENT,0,"10,637"
"145,143",OH0210800,Genoa Township Police Department,"10,045",
"145,143",OH025065C,Ohio Adult Parole Authority,"5,280",
"145,143",OH0250800,Reynoldsburg Police Department,"10,745",
"145,143",OH0250900,Upper Arlington Police Division,"10,045",
"145,143",OHEQ00303,Franklin County Drug Task Force,"40,010",
"145,141",OH0250000,Franklin County Sheriff's Office,"12,285","12,665"
"145,141",OH025013A,Franklin County Prosecutor's Office,"14,284",
"145,141",OH0250400,Gahanna Division of Police,"39,234",
"145,141",OHBCI0000,"Ohio Attorney General, BCI","39,234",
"145,141",OHCOP0000,Columbus Division of Police,0,"24,950"
"145,082",CO0620000,Weld County Sheriff's Office,"70,248",
"145,082",CO0620200,City of Greeley Police Department,"103,188",
"145,059",OH025013A,"Franklin County Prosecutor Attorney, Columbus, Ohio",0,"404,071"
"145,012",AR0150200,Fifteenth Judicial Drug Task Force,"1,200",
"145,007",NY0512400,Sag Harbor Village Police Department,"7,837",
"145,007",NY0512600,Southampton Village Police Department,"10,771",
"145,007",NY0515200,East Hampton Town Police Department,"18,435",
"145,007",NY0515500,Riverhead Town Police Department,"40,954",
"145,007",NY0515800,Southampton Town Police Department,"21,437",
"145,005",NY0550100,City of Kingston Police Department,0,"25,000"
"145,005",NY0552700,Town of New Paltz Police Department,0,"6,500"
"145,005",NY0555600,Town of Lloyd Police Department,0,"8,700"
"145,005",NY0556100,Town of Plattekill Police Department,0,"25,000"
"145,005",NY0556600,Town of Woodstock Police Department,0,"5,000"
"145,005",NY0558000,Town of Saugerties Police Department,0,"15,000"
"145,005",NY0558100,Town of Shandaken Police Department,0,"5,000"
"145,005",NY0559500,Town of Ulster Police Department,0,"20,000"
"145,004",MN0190000,"Dakota County Sheriff's Office, Hastings, MN","14,023",
"144,993",CO3401000,DURANGO POLICE DEPARTMENT,500,
"144,993",CO3404000,IGNACIO POLICE DEPARTMENT,500,
"144,974",WI0370300,Wausau Police Department,"2,859",
"144,974",WI0371300,Everest Metro Police Department,"1,429",
"144,974",WI0720100,Marshfield Police Department,"3,630",
"144,967",MO0920300,CITY OF ST CHARLES,0,"21,546"
"144,967",MO0950200,CITY OF BALLWIN,0,"21,546"
"144,967",MO0950400,BELLEFONTAINE NEIGHBORS,0,"21,547"
"144,967",MO0952100,CITY OF DELLWOOD,0,"18,089"
"144,967",MO0952800,CITY OF FERGUSON,0,"21,547"
"144,967",MO0954100,CITY OF JENNINGS,0,"10,897"
"144,967",MO0954700,CITY OF MANCHESTER,0,"21,546"
"144,967",MO0958000,CITY OF WEBSTER GROVES,0,"21,546"
"144,967",MO0958400,CITY OF WOODSON TERRACE,0,"21,546"
"144,967",MO0959A00,CITY OF CHESTERFIELD,0,"21,547"
"144,967",MOMHP0006,MISSOURI STATE HIGHWAY PATROL,0,"1,077"
"144,952",AR0350000,Jefferson County Sheriff's Office,"20,534",
"144,950",AR0350500,Tri-County Drug Task Force,"27,926",
"144,903",OH0230000,FAIRFIELD COUNTY SHERIFF,"5,000",
"144,903",OH0230100,LANCASTER POLICE DEPARTMENT,"5,000",
"144,903",OH023013A,FAIRFIELD COUNTY PROSECUTOR,"5,000",
"144,903",OH0230900,PICKERINGTON POLICE DEPARTMENT,"5,000",
"144,903",OH0370000,HOCKING COUNTY SHERIFF,"5,000",
"144,903",OH037013A,HOCKING COUNTY PROSECUTOR,"5,000",
"144,899",PA0094800,"Bucks County DA's Office, Doylestown, PA  18901","9,784",
"144,863",WA0310200,Edmonds Police Department,"3,663",
"144,863",WA0310400,Lynnwood Police Department,"7,327",
"144,863",WA0310600,Mountlake Terrace Police Department,"3,663",
"144,826",IN0300000,Hancock County Sheriff's Office,"56,018",
"144,826",IN0300100,Greenfield Police Department,"60,055",
"144,826",IN0890100,Richmond Police Department,"69,286",
"144,807",PA0094800,Bucks County District Attorney's Office,"250,000",
"144,790",NJ0080500,Franklin Township Police Department,"2,500",
"144,788",IN0330000,Henry County Sheriff's Department,"10,745",
"144,743",WI0440200,City of Rhinelander Police,175,
"144,728",NY0060100,Dunkirk Police Department,"1,184",
"144,728",NY006013G,Chautauqua County District Attorney,716,
"144,728",NY0060200,Jamestown Police Department,"1,184",
"144,727",NY0060100,Dunkirk Police Department,"1,637",
"144,727",NY006013G,Chautauqua County District Attorney,819,
"144,727",NY0060200,Jamestown Police Department,"1,637",
"144,592",NY0590300,Mount Vernon Police Department,"3,478",
"144,592",NY0590700,Yonkers Police Department,"8,261",
"144,592",NY0595400,Harrison Police Department,"1,587",
"144,592",NY1010000,New York State Police Department,"6,766",
"144,566",OH0140400,Wilmington Police Department,"1,193","2,892"
"144,566",OH0830300,Lebanon Police Department,"1,193","2,892"
"144,566",OH0831400,Springboro Police Department,144,
"144,554",WA0390000,Yakima County Sheriff's Office,"31,301",
"144,554",WA039013A,Yakima County Prosecuting Attorney,"13,912",
"144,554",WA0390500,Yakima Police Department,"93,904",
"144,542",VAVSP0000,Central VA Multi-Jurisdictional Task Force,"5,225",
"144,491",CO0350300,"Fort Collins Police Services, Fort Collins, CO","77,148",
"144,491",CO0350400,"Loveland Police Department, Loveland, CO","77,036",
"144,467",OH0620200,PORT CLINTON POLICE DEPARTMENT,"7,500",
"144,466",NY057013A,Washington County DA  (corrects accounting error in funds rec'd),"20,161",
"144,408",WI0680100,City of Brookfield Police Department,"2,435",
"144,408",WI0680300,Village of Menomonee Falls Police Department,"2,435",
"144,408",WI0680400,City of New Berlin Police Department,"2,435",
"144,408",WI0680500,City of Waukesha Police Department,"4,870",
"144,408",WI0680600,City of Muskego Police Department,335,
"144,408",WI0681400,Village of Hartland Police Department,487,
"144,408",WI0681400,Village of Pewaukee,487,
"144,408",WI0682500,Village of Eagle,225,
"144,407",WI0680000,Waukesha County Sheriff's Department,"476,633",
"144,377",NY0180100,City of Batavia Police Department,718,
"144,377",NY0182300,Village of LeRoy Police Department,718,
"144,345",AR0720000,Washington County Arkansas,"21,460",
"144,345",AR0720100,Fayetteville Police Department,"24,321",
"144,345",AR0720202,Springdale Police Department,"23,548",
"144,339",IN067015A,Putnam County Mental Health Association,"1,275",
"144,293",NY1010000,New York State Police,"7,968",
"144,283",MI4136100,EAST GRAND RAPIDS DEPARTMENT OF PUBLIC SAFETY,"15,373",
"144,283",MI4143700,GRANDVILLE POLICE DEPARTMENT,"15,373",
"144,283",MI4180200,WALKER POLICE DEPARTMENT,"15,373",
"144,273",OH0250000,Franklin County Sheriff's Office,"23,173",
"144,273",OH0290100,Fairborn Police Department,"17,113","6,025"
"144,273",OH029013A,Greene County Prosecutor's Office,"17,113","6,025"
"144,273",OH0290300,Xenia Police Division,"17,113","6,025"
"144,273",OH0290400,Yellow Springs Police Department,"17,113","6,025"
"144,273",OH0291100,Beavercreek Police Department,"17,113","6,025"
"144,273",OH0291300,Sugarcreek Township Police Department,"17,113","6,025"
"144,185",ND0080100,Bismarck Police Department,"5,130",
"144,185",NDBCA0000,North Dakota Bureau of Criminal Investigation,"5,130",
"144,177",MI3300231,MICHIGAN STATE POLICE MI,"171,728",
"144,177",MI6397505,"DRANO, MI","35,796",
"144,177",MI8221200,ALLEN PARK POLICE DEPARTMENT-ALLEN PARK MI,"103,762",
"144,177",MI8234300,DEARBORN POLICE DEPARTMENT-DEARBORN MI,"103,762",
"144,177",MI8270900,ROMULUS POLICE DEPARTMENT-ROMULUS MI,"103,762",
"144,177",MI8277500,TAYLOR POLICE DEPARTMENT-TAYLR MI,"207,524",
"144,177",MI8283100,WOODHAVEN POLICE DEPARTMENT-WOODHAVEN MI,"103,762",
"144,177",MI8293900,WAYNE COUNTY AIRPORT POLICE -ROMULUS MI,"103,762",
"144,177",MI8294700,BROWNSTOWN POLICE DEPARTMENT-BROWNSTOWN MI,"103,762",
"144,173",NY0558000,Saugerties Police Department,"1,124",
"144,153",MO0460010,South Central Drug Task Force,"3,000",
"144,079",WA0140100,ABERDEEN POLICE DEPARTMENT,"29,565","1,954"
"144,079",WA0140300,HOQUIAM POLICE DEPARTMENT,"29,565","1,954"
"144,061",NY0030000,Boome County Sheriff's Office,"6,263",
"144,043",TX2350100,"City of Victoria Police Department, Victoria, TX","53,443",
"143,991",CO0180000,Douglas County Sheriff's Office,587,
"143,882",IL0140000,Clinton County Sheriff's Department,"24,182",
"143,781",IL0030000,Bond County Sheriff's Department,"3,413",
"143,730",OH0090500,Monroe Police Department,"5,690",
"143,730",OH0090700,Oxford Police Department,"5,690",
"143,730",OH0091500,West Chester Police Department,"5,690",
"143,730",OH0091800,Fairfield Township Police Department,"5,690",
"143,683",OH0570000,MONTGOMERY COUNTY SHERIFF'S OFFICE,"39,375",
"143,683",OH0570700,MIAMI TOWNSHIP,"1,148",
"143,683",OH0571200,TROTWOOD POLICE,"2,691",
"143,683",OH0571700,CLAYTON POLICE,"1,060",
"143,683",OH0572000,NEW LEBANON POLICE,"2,675",
"143,683",OH0572200,RIVERSIDE POLICE,190,
"143,683",OH0572800,PERRY TOWNSHIP POLICE,"1,060",
"143,683",OH0573200,FIVE RIVERS METRO PARKS,"4,021",
"143,683",OHBCI0000,OHIO BCI&I,"9,877",
"143,649",NY0162400,"Malone Village Police Dept., Malone, NY","35,727",
"143,649",NY1160100,"New York State Police, Malone, NY","5,951",
"143,649",NYDI02200,"St. Regis Mohawk Tribal Police, Hogansburg, NY",500,
"143,566",WIEQ00300,Dodge County Drug Task Force,"7,330",
"143,560",NY0070100,Elmira Police Department,"3,000",
"143,560",NY0070130,Chemung County Sheriff's Office,500,
"143,460",IL101013A,Winnebago County State's Attorney&apos;s Office,"50,535",
"143,460",WIQNGCD26,Wisconsin National Guard Drug Control Program,"6,400",
"143,409",MN0740100,Owatonna Police Department,"6,364",
"143,409",MN074013A,Steele County Attorney's Office,"1,061",
"143,192",TX1990000,Rockwall County Sheriff's Office,"5,000",
"143,165",PA0214201,US Customs & Boarder Protection - Requested return of funds,0,"12,412"
"143,111",MO0460010,"South Central Missouri Drug Task Force, Cabool, Missouri","3,000",
