CERTIFICATIONID,AGENCYNAME,NCIC
"149,135",Maury County Sheriff's Department,TN0600000
"149,113",Arvada Police Department,CO0300100
"149,113",Golden Police Department,CO0300200
"149,113",Jefferson County District Attorney's Office,CO030015A
"149,113",Jefferson County Sheriff's Office,CO0300004
"149,113",Lakewood Police Department,CO0300401
"149,113",Wheat Ridge Police Department,CO0300500
"149,112",Sutter County Sheriff's Department,CA0510000
"149,112",Yuba City Police Department,CA0510200
"149,112",Yuba County Sheriff's Department,CA0580000
"149,079",Aberdeen Police Department,MD0130100
"149,079",Bel Air Police Department,MD0130200
"149,079",Harford County Sheriff's Office/State&apos;s Attorney,MD0130000
"149,079",Havre de Grace Police Department,MD0130300
"149,079",Maryland State Police,MDMSP9800
"149,074","Bettendorf Police Department / 1609 State Street, Bettendorf, IA 52722",IA0820100
"149,074","Davenport Police Department / 416 Harrison Street, Davenport, IA 52801",IA0820200
"149,074","East Moline Police Department/915 16th Avenue, East Moline, IL 61244",IL0810400
"149,074","Illinois State Police - Zone 2 Investigations / 200 S Wyman, suite 106, Rockford, IL 61101-1230",IL1011500
"149,074","Moline Police Department / 1640 6th Avenue, Moline, IL 61201",IL0810600
"149,074","Rock Island County Sheriff Department/1317 3rd Avenue, Rock Island, IL 61201",IL0810000
"149,074","Rock Island Police Department / 316 16th Street, Rock Island, IL 61201",IL0810800
"149,074","Rock Island States Attorney Office / 1503 3rd Avenue, Rock Island, IL 61201",IL081013A
"149,074","Scott County Attorney Office / 416 West 4th Street, Davenport, IA 52801",IA082023A
"149,074","Scott County Sheriff Department/400 West 4th Street, Davenport, Iowa 52801",IA0820000
"149,074","Silivs Police Department / 1040 First Avenue, Silvis, IL 61282",IL0810900
"149,059",Bedford Park Police Department,IL0160600
"149,059",Broadview Police Department,IL0161200
"149,059",Chicago Police Department,ILCPD0000
"149,059",Countryside Police Department,IL0162300
"149,059",Dolton Police Department,IL0162700
"149,059",Morton Grove Police Department,IL0167100
"149,059",Narcotics and Currency Interdiction (NARCINT) Task Force,IL016C400
"149,059",Northbrook Police Department,IL0167500
"149,059",Posen Police Department,IL0169100
"149,037",Illinois State Police,IL0470088
"149,037",lake county metropolitan enforcement group,IL0494000
"149,031",California State Parole,CA034035G
"149,031",Ceres Police Department,CA0500100
"149,031",Modesto Police Department,CA0500200
"149,031",Stanislaus County District Attorney,CA050013A
"149,031",Stanislaus County Probation Department,CA050013G
"149,031",Stanislaus County Sheriff's Department,CA0500000
"149,031",Turlock Police Department,CA0500700
"149,031","USDOJ, Drug Enforcement Admin",CADEA0700
"148,992",Eunice Police Department,NM0130100
"148,992",Hobbs Police Department,NM0130202
"148,992",Jal Police Department,NM0130300
"148,992",Lea County Sheriff's Department,NM0130000
"148,992",Lovington Police Department,NM0130400
"148,992",Tatum Police Department,NM0130500
"148,946",Eddyville Police Department,KY0720200
"148,946",Hopkinsville Police Department,KY0240100
"148,946",Lyon County Sheriff's Department,KY0720000
"148,924",California Department of Justice,CA0389478
"148,924",California Highway Patrol,CA0231520
"148,924",Fort Bragg Police Department,CA0230100
"148,924",Mendocino County Sheriff's Office,CA0230000
"148,924",Ukiah Police Department,CA0230300
"148,924",Willits Police Department,CA0230400
"148,899",Bozeman Police Department,MTEQ00086
"148,899",Broadwater County Sheriff's Office,MTEQ00086
"148,899",Gallatin County Sheriff's Office,MTEQ00086
"148,899",Helena Police Department,MTEQ00086
"148,899",Lewis and Clark County Sheriff's Office,MTEQ00086
"148,899",Park County Sheriff's Office,MTEQ00086
"148,893",Carroll County Sheriff's Department,GA0220000
"148,893",City of Atlanta Police Department,GAAPD0000
"148,893",City of Bowdon Police Department,GA0220300
"148,893",City of Carrollton Police Department,GA0220100
"148,893",City of LaGrange Police Department,GA1410200
"148,893",City of Villa Rica Police Department,GA0220200
"148,893",Fulton County Police Department,GA0601300
"148,893",Heard County Sheriff's Department,GA0074000
"148,867",Illinois State Police,IL0842500
"148,867",Lombard Police Department,IL0221300
"148,867",Wood Dale Police Department,IL0222300
"148,837",Dodge County Sheriff's Office,GA0450001
"148,837",Eastman Police Department,GA0450100
"148,837",Georgia Bureau of Investigation (Region 6),GAGBI2100
"148,837",McRae Police Department,GA1340100
"148,837",Montgomery County Sheriff's Office,GA1030000
"148,837",Oconee Judicial Circuit District Attorney's Office,GA045015A
"148,837",Pulaski County Sheriff's Office,GA1160000
"148,837",Telfair County Sheriff's Office,GA1340000
"148,837",Wheeler County Sheriff's Office,GA1530000
"148,833",Bullhead City Police Department,AZ0080500
"148,833",Department of Public Safety,AZ0081100
"148,833",Kingman Police Department,AZ0080100
"148,833",Lake Havasu City Police Department,AZ0080400
"148,833",Mohave County Attorney's Office,AZ008013A
"148,833",Mohave County Sheriff's Office,AZ0080000
"148,828",Lake Cumberland Area Drug Task Force,KY1000600
"148,828",McCreary  County Sheriff's Office,KY0740000
"148,828",Monticello Police Department,KY1160100
"148,828",Pulaski County Sheriff's Office,KY1000000
"148,828",Somerset Police Department,KY1000100
"148,828",Wayne County Sheriff's Office,KY1160100
"148,766",Butte County District Attorney's Office,CA004013A
"148,766",Butte County Probation Department,CA004013G
"148,766",Butte County Sheriff's Office,CA0040000
"148,766",California Highway Patrol,CA0049941
"148,766",Chico Police Department,CA0040200
"148,766","DOJ, Bureau of Investigations",CA0349496
"148,766",Gridley-Biggs Police Department,CA0040300
"148,766",Oroville Police Department,CA0040400
"148,766",Paradise Police Department,CA0040500
"148,758",Beaumont Police Department,CA0330200
"148,758",Calexico Police Department,CA0130200
"148,758",California Alcoholic Beverage Control,CA0332A00
"148,758",California Department of Justice,CA0349496
"148,758",Corona Police Department,CA0331500
"148,758",Homeland Security Investigations - ICA,CAICE2500
"148,758",Murrieta Police Department,CA0334200
"148,758",Riverside County Sheriff's Department,CA0330000
"148,758",Riverside Police Department,CA0331300
"148,758",San Bernardino Police Department,CA0361000
"148,758",Western States Information Network - WSIN,CA034015Y
"148,738",Bardstown Police Department,KY0900100
"148,738",Elizabethtown Police Department,KY0470100
"148,738",Hardin County Sheriff's Department,KY0470000
"148,738",Hart County Sheriff's Department,KY0500000
"148,738","Kentucky State Police, Post 4",KYKSP0400
"148,738",Leitchfield Police Department,KY0430100
"148,738",Nelson County Sheriff's Department,KY0900000
"148,738",Radcliff Police Department,KY0470200
"148,738","US Army Law Enforcement Command, Fort Knox",KYUSA0300
"148,738",Vine Grove Police Department,KY0470300
"148,738",West Point Police Department,KY0470400
"148,722",Centreville Police Department,MD0180100
"148,722",Maryland Natural Resources Police,MD0020500
"148,722",Maryland State Police,MDMSP9800
"148,722",Queen Anne's County Sheriff&apos;s Office,MD0180000
"148,722",Queen Anne's County State&apos;s Attorney&apos;s Office,MD018043A
"148,690","GREENBELT CITY POLICE DEPARTMENT550 CRECENT ROAD, GREENBELT, MD 20770",MD0171400
"148,690","METROPOLITAN AREA DRUG TASK FORCE6301 IVY LANE, SUITE 810, GREENBELT, MD 20770",MDMSP1100
"148,690","MONTGOMERY COUNTY POLICE DEPARTMENT2350 RESEARCH BOULEVARD, ROCKVILLE, MD  20850",MD0160400
"148,690","UNIVERSITY OF MARYLAND POLICE DEPARTMENTRT 1, SVC BUILDING #3, COLLEGE PARK, MD  20742",MD0172500
"148,682",Buchanan County Commonwealth's Attorney Office,VA014013A
"148,682",Buchanan County Sheriff's Office,VA0140000
"148,682",Grundy Town Polie,VA0140100
"148,682",Virginia State Police,VA0000000
"148,649",Albany Police Department,GA0470100
"148,649",Dougherty County District Attorney,GA047165A
"148,649",Dougherty County Police Department,GA0470200
"148,649",Dougherty County Sheriff Office,GA0470000
"148,646","District One Drug Task Force, 319 N. Main Street, Guymon, OK 73942",OK070015A
"148,646","Pablo Pinzon, 319 N. Main Street, Guymon, OK 73942",OK070015A
"148,646","Tim Landess, 319 N. Main Street, Guymon, OK 73942",OK070015A
"148,632",CLINTON P.D.,IL0200100
"148,632",DEWITT COUNTY SHERIFF'S OFFICE,IL0200000
"148,632",ILLINOIS STATE UNIVERSITY POLICE DEPARTMENT,IL0571500
"148,632",MCLEAN COUNTY SHERIFF'S OFFICE,IL0570000
"148,627",Berkeley County Sheriff's Department,wv0020000
"148,627",Jefferson County Sheriff's Department,wv0019000
"148,627",Martinsburg Police Department,wv0020100
"148,627",West Virginia State Police,wvwsp2600
"148,622",Bluefield City Police Department,WV0280200
"148,622",McDowell County Sheriffs Department,WV0240000
"148,622",Mercer County Sheriffs Department,WV0281000
"148,622",Princeton City Police Department,WV0280300
"148,622",West Virginia State Police BCI,WVWSP9300
"148,622",Wyoming County Sheriffs Department,WV0550200
"148,609",8TH JUDICIAL NORTH PROSECUTING ATTY CHRISTINE MCQUEEN,AR029013A
"148,609",8TH JUDICIAL SOUTH PROSECUTING ATTY CARLTON JONES,AR046015A
"148,609",9TH JUDICIAL WEST PROSECUTING ATTORNEY BRYAN CHESSHIR,AR031015A
"148,609",DEQUEEN POLICE DEPARTMENT,AR0670100
"148,609",HEMPSTEAD COUNTY,AR0290000
"148,609",HOPE POLICE DEPARTMENT,AR0290100
"148,609",HOWARD COUNTY,AR0310000
"148,609",LAFAYETTE COUNTY,AR0370000
"148,609",LITTLE RIVER COUNTY,AR0410000
"148,609",NEVADA COUNTY,AR0500000
"148,609",PIKE COUNTY,AR0550000
"148,609",PRESCOTT POLICE DEPARTMENT,AR0500100
"148,609",SEVIER COUNTY,AR0670000
"148,591",Dysart Police Department,IA0860300
"148,591",Eldora Police Department,IA0420300
"148,591",Grundy County Sheriff's Office,IA0380000
"148,591",Hardin County Sheriff's Office,IA0420000
"148,591",Iowa Falls Police Department,IA0420100
"148,591",Marshall County Sheriff's Office,IA0640000
"148,591",Marshalltown Police Department,IA0640100
"148,591",Tama County Sheriff's Office,IA0860000
"148,591",Tama Police Department,IA0860100
"148,574",Dunklin County Sheriff's Office,MO0350000
"148,574",Kennett Police Department,MO0350500
"148,574",Pemiscot County Sheriff's Office,MO0780000
"148,537",Altus Police Dept,OK0330100
"148,537",Blair Police Dept,OK0330200
"148,537",Duke Police Dept,OK0330400
"148,537",Frederick Police Dept,OK0710100
"148,537",Grandfield Police Dept,OK0710300
"148,537",Granite Police Dept,OK0280300
"148,537",Greer County Sheriff Office,OK0280000
"148,537",Harmon County Sheriff Office,OK0290000
"148,537",Hollis Police Dept,OK0291000
"148,537",Jackson County Sheriff Office,OK0330000
"148,537",Kiowa County Sheriff Office,OK0380000
"148,537",Lone Wolf Police Dept,OK0380600
"148,537",Mangum Police Dept,OK0280100
"148,537",Mountain View Police Dept,OK0381400
"148,537",Olustee Police Dept,OK0331100
"148,537",Tillman County Sheriff Office,OK0710000
"148,537",Tipton Police Dept,OK0710700
"148,530",Harrisville Police Department,UT0290800
"148,530",Morgan County Sheriff's Office,UT0150000
"148,530",North Ogden Police Department,UT0290500
"148,530",Ogden Police Department,UT0290100
"148,530",Pleasant View Police Department,UT0291100
"148,530",Riverdale Police Department,UT0290600
"148,530",South Ogden Police Department,UT0290300
"148,530",Weber County Sheriff's Office,UT0290000
"148,521",Illinois State Police,IL0999900
"148,521",Joliet Police Department,IL0990700
"148,521",Plainfield Police Department,IL0991100
"148,521",Romeoville Police Department,IL0991300
"148,521",Will County Sheriff's Office,IL0990000
"148,521",Will County State's Attorney Office,IL099013A
"148,517",NM  State Police / Narcotics Division,NMSP21000
"148,517",Santa Fe City Police Department,NM0260100
"148,517",Santa Fe County Sheriff's Department,NM0261100
"148,510",Administrator 16th Judicial District Drug Task Force,AR0320300
"148,510",Cleburne County Sheriff,AR0120000
"148,510",Fulton County Sheriff,AR0250000
"148,510",Independence County Sheriff,AR0320000
"148,510",Izard County Sheriff,AR0330000
"148,510",Prosecuting Attorney 16th Judicial District,AR032015A
"148,510",Salem Police Police,AR0250100
"148,510",Stone County Sheriff,AR0690000
"148,501",Decatur Police Department,TN0610100
"148,501",Harriman Police Department,TN0730100
"148,501",Kingston Police Department,TN0730200
"148,501",Lenoir City Police Department,TN0530100
"148,501",Loudon County Sheriff's Office,TN0530000
"148,501",Loudon Police Department,TN0530200
"148,501",Meigs County Sheriff's Office,TN0610000
"148,501",Morgan County Sheriff's Office,TN0650000
"148,501",Oak Ridge Police Department,TN0100103
"148,501",Oliver Springs Police Department,TN0107303
"148,501",Roane County Sheriff's Office,TN0730000
"148,501",Rockwood Police Daprtment,TN0730400
"148,501",Sunbright Police Department,TN0650300
"148,501",Wartburg Police Department,TN6506501
"148,493",Caroline County Sheriff's Office,MD0060000
"148,493",Denton Police Department,MD0060100
"148,493",Federalsburg Police Department,MD0060200
"148,493",Greensboro Police Department,MD0060300
"148,493",Maryland Natural Resources Police,MD0020500
"148,493",Maryland State Police Drug Enforcement,MDMSP9400
"148,493",Preston Police Department,MD0060400
"148,493",Ridgely Police Department,MD0060500
"148,493","State's Attorney&apos;s Office, Caroline County",MD006033A
"148,450",Belmond Police Department,IA0990200
"148,450",Britt Police Department,IA0410200
"148,450",Butler County Sheriff's Office,IA0120000
"148,450",Cerro Gordo County Sheriff's Office,IA0170000
"148,450",Charles City Police Department,IA0340100
"148,450",Clarion Police Department,IA0990300
"148,450",Clear Lake Police Department,IA0170100
"148,450",Eagle Grove Police Department,IA0990100
"148,450","Floyd County Sheriff's Office, Nora Springs Police Department",IA0340000
"148,450",Forest City Police Department,IA0950100
"148,450","Franklin County Sheriff's Office, Sheffield Police Department",IA0350000
"148,450",Garner Police Department,IA0410100
"148,450",Hampton Police Department,IA0350100
"148,450","Hancock County Sheriff's Office, Kanawha Police Department",IA0410000
"148,450",Lake Mills Police Department,IA0950200
"148,450",Manly Police Department,IA0980200
"148,450",Mason City Police Department,IA0017200
"148,450","Mitchell County Sheriff's Office, Stacyville Police Department",IA0660000
"148,450",Northwood Police Department,IA0980100
"148,450",Osage Police Department,IA0660100
"148,450",Parkersburg Police Department,IA0120100
"148,450",Shell Rock Police Department,IA0120200
"148,450",St. Ansgar Police Department,IA0660200
"148,450",Winnebago County Sheriff's Office,IA0950000
"148,450",Worth County Sheriff's Office,IA0980000
"148,450",Wright County Sheriff's Office,IA0990000
"148,445",8th Judicial Drug Task Force,TN0070700
"148,445",Claiborne County Sheriff's Office,TN0070700
"148,397",BENICIA POLICE DEPARTMENT,CA0480100
"148,397",DIXON POLICE DEPARTMENT,CA0480200
"148,397",FAIRFIELD POLICE DEPARTMENT,CA0480300
"148,397",SOLANO COUNTY DISTRICT ATTORNEY,CA048013A
"148,397",SOLANO COUNTY SHERIFF'S DEPARTMENT,CA0480000
"148,397",VALLEJO POLICE DEPARTMENT,CA0480700
"148,386",Martinez Police Department,CA0071400
"148,386","Office of the Sheriff, Contra Costa County",CA0070000
"148,386",Pittsburg Police Department,CA0070800
"148,386",Pleasant Hill Police Department,CA0070900
"148,386",San Ramon Police Department,CA0704000
"148,386",Walnut Creek Police Department,CA0071200
"148,373",Central Utah Narcotics Task Force,UT0211000
"148,373",Dwight Jenkins,UT0211000
"148,373",Jason Boots,UT0211000
"148,373",Jason Haywood,UT0211000
"148,373",Jeffrey G. Whatcott,UT0211000
"148,373",Kerry Ekker,UT0211000
"148,373",Shane Stewart,UT0211000
"148,372",Carter County Sheriff's Department,KY0220000
"148,372","City of Flatwoods, KY Police Department",KY0450100
"148,372","City of Olive Hill, KY Police Department",KY0220200
"148,372","City of Raceland, KY Police Department",KY0450300
"148,372","City of Russell, KY Police Department",KY0450500
"148,372","City of Vanceburg, KY Police Department",KY0680100
"148,320",Bountiful City Police Department,UT0060100
"148,320",Clearfield City Police Department,UT0060200
"148,320",Davis County Sheriff's Office,UT0060000
"148,320",Layton Police Department,UT0060300
"148,320",Syracuse Police Department,UT0061200
"148,294",Alpine/Highland Police Department,UT0250900
"148,294",American Fork Police Department,UT0250100
"148,294",Lehi Police Department,UT0250200
"148,294",Mapleton Police Department,UT0251400
"148,294",Orem Department of Public Safety,UT0250300
"148,294",Payson Police Department,UT0250400
"148,294",Pleasant Grove Police Department,UT0250500
"148,294",Provo Police Department,UT0250600
"148,294",Salem Police Department,UT0251000
"148,294",Santaquin Police Department,UT0251100
"148,294",Spanish Fork Police Department,UT0250700
"148,294",Springville Police Department,UT0250800
"148,294",Utah Adult Probation and Parole,UT025025G
"148,294",Utah County Sheriff's Department,UT0250000
"148,286",Arroyo Grande Police Department,CA0400100
"148,286",Atascadero Police Department,CA0400800
"148,286","Bureau of Alcohol. Tobacco, Firearms & Explosives (ATF)",CA-------
"148,286",Cal Poly State University Police Department,CA0400700
"148,286",California Army National Guard (CARNG),CA-------
"148,286",California Bureau of Narcotic Enforcement (BNE),CA0199495
"148,286",California Department of Corrects (CDC),CA034035G
"148,286",County of San Luis Obispo Department of Social Services Child Welfare Services,CA040----
"148,286",County of San Luis Obispo District Attorney,CA0400013
"148,286",County of San Luis Obispo Sheriff's Department,CA0400000
"148,286",Grover Beach Police Department,CA0400200
"148,286",Paso Robles Police Department,CA0400400
"148,286",Pismo Beach Police Department,CA0400500
"148,286",San Luis Obispo Police Department,CA0400600
"148,286",United States Secret Service,CA-------
"148,268",Bend Police Department,OR0090100
"148,268",Crook County Sheriff's Office,OR0070000
"148,268",Deschutes County Sheriff's Office,OR0090000
"148,268",Jefferson County Sheriff's Office,OR0160000
"148,268",Madras Police Department,OR0160200
"148,268",Prineville Police Department,OR0070100
"148,268",Redmond Police Department,OR0090200
"148,251",Chase City Police Dept.,VA0580200
"148,251",Clarksville Police Dept.,VA0580300
"148,251",Mecklenburg Co. Sheriff's Dept.,VA0580000
"148,251",South Hill Police Dept.,VA0580500
"148,251",Virginia Alcohol Beverage Control,VA0430300
"148,251",Virginia State Police,VAVSP0803
"148,219",BOND CO. SHERIFF'S DEPARTMENT,IL0030000
"148,219",JERSEY CO. SHERIFF'S DEPARTMENT,IL0420000
"148,219",MACOUPIN CO. SHERIFF'S DEPARTMENT,IL0590000
"148,219",MONTGOMERY CO. SHERIFF'S DEPARTMENT,IL0680000
"148,212",Contra Costa County Sheriff's Department,CA0070000
"148,212",El Cerrito Police Department,CA0070500
"148,212",Hercules Police Department,CA0070600
"148,212",Pinole Police Department,CA0070700
"148,212",Richmond Police Department,CA0071000
"148,212",San Pablo Police Department,CA0071100
"148,200",Arnold Police Department,MO0500700
"148,200",Crystal City Police Department,MO0500100
"148,200",Festus Police Department,MO0500300
"148,200",Herculaneum Police Department,MO0500800
"148,200",Jefferson County Sheriff's Office,MO0500000
"148,200",Pevely Police Department,MO0500600
"148,187",Blanding Police Department,ut0190100
"148,187",Monticello Police Department,ut0190200
"148,187",San Juan County Sheriff's Office,ut0190000
"148,124",Fairmont Police Department,wv0250100
"148,124",Three Rivers Drug and Violent Crimes Task Force,wv0251600
"148,116",Beckham County Sheriff's Office,OK0050000
"148,116",Burns Flat Police Department,OK0750300
"148,116",Clinton Police Department,OK0200100
"148,116",Cordell Police Department,OK0750100
"148,116",Custer City Police Department,OK0200000
"148,116",Custer County Sheriff's Office,OK0200000
"148,116",District 2 District Attorney,OK020015A
"148,116",Elk City Police Department,OK0050100
"148,116",Ellis County Sheriff's Office,OK0230000
"148,116",Roger Mills County Sheriff's Office,OK0650000
"148,116",Sayre Police Department,OK0050300
"148,116",Washita County Sheriff's Office,OK0750000
"148,110",Garrett County Sheriff's Office,MD0120000
"148,110",Garrett County States Attorney,MD012013A
"148,110",Maryland State Police,MDSP02300
"148,088",Mountaineer Highway Interdiction Team,wv0351200
"148,088",Ohio County Sheriff's Department,wv0350000
"148,088",West Virginia State Police,wvwsp0007
"148,088",Wheeling Police Department,wv0350100
"148,075",Hermiston Police Department,OR0300100
"148,075",Milton-Freewater Police Department,OR0300200
"148,075",Morrow County Sheriff's Office,OR0250000
"148,075",Oregon State Police,OR0SP4800
"148,075",Pendleton Police Department,OR0300300
"148,075",Umatilla County Sheriff's Office,OR0300000
"148,075",Umatilla Tribal Police,OR0301200
"148,074",Hurricane City Police Department,UT0270300
"148,074",Ivins City Police Department,UT0271500
"148,074",St. George Police Department,UT0270100
"148,074",Washington City Police Department,UT0271000
"148,074",Washington County Sheriff's Office,UT0270000
"148,047",Davis County Sheriffs Office,IA0260000
"148,047",Henry County Sheriffs Office,IA0440000
"148,047",Jefferson County Sheriffs Office,IA0510000
"148,047",Keokuk County Sheriffs Office,IA0540000
"148,047",Mahaska County Sheriffs Office,IA0620000
"148,047",Mt. Pleasant Police Department,IA0440100
"148,047",Oskaloosa Police Department,IA0620100
"148,047",Ottumwa Police Department,IA9001000
"148,047",Sigourney Police Department,IA0540100
"148,047",Van Buren County Sheriffs Office,IA0890000
"148,047",Wapello County Sheriffs Office,IA9000000
"148,031",ELBERTON POLICE DEPARTMENT,GA0520000
"148,031",FRANKLIN COUNTY SHERIFF'S OFFICE,GA0590000
"148,031",HARTWELL POLICE DEPARTMENT,GA0730000
"148,031",ROYSTON POLICE DEPARTMENT,GA0590300
"148,031",WILKES COUNTY SHERIFF'S OFFICE,GA1570000
"148,028",Ball Ground Police Department,GA0280200
"148,028",Canton Police Department,GA0280100
"148,028",Cherokee County District Attorney's Office,GA028015A
"148,028",Cherokee County Marshal's Office,GA0280900
"148,028",Cherokee County School Police,GA0280701
"148,028",Cherokee County Sheriff's Office,GA0280000
"148,028",Georgia Bureau of Investigation,GAGBII800
"148,028",Georgia State Patrol,GAGSP2800
"148,028",Holly Springs Police Department,GA0280300
"148,028",Woodstock Police Department,GA0280500
"147,979",OHIO COUNTY SHERIFF'S DEPARTMENT,WV0350000
"147,979",WHEELING POLICE DEPARTMENT,WV0350100
"147,978",Grandview Police Department,WA0390100
"147,978",Sunnyside Police Department,WA0390200
"147,978",Washington State Patrol,WAWSP3000
"147,978",Yakima County Sheriff,WA0390000
"147,959",Emanuel County Sheriff's Office,GA0530000
"147,959",Lyons Police Department,GA1380100
"147,959",Soperton Police Department,GA1400100
"147,959",Swainsboro Police Department,GA0530100
"147,959",Toombs County Sheriff's Office,GA1380000
"147,959",Treutlen County Sheriff's Office,GA1400000
"147,959",Twin City Police Department,GA0530300
"147,940",City of South Salt Lake Police Department,UT0180400
"147,940",City of West Jordan Police Department,UT0180600
"147,940",Draper City Police Department,UT0181200
"147,940",Drug Enforcement Administration,UTDEA0100
"147,940",Murray City Police Department (Lead Agency),UT0180200
"147,940",Salt Lake City Police Department,UT0180300
"147,940",Sandy City Police Department,UT0180500
"147,940",South Jordan Police Department,UT0181800
"147,940",Summit County Sheriff Office,UT0220000
"147,940",Unified Police Department of Greater Salt Lake,UT0180000
"147,940",Utah Department of Corrections,UT078095C
"147,940",Utah Highway Patrol,UTUHP0000
"147,940",West Valley City Police Department,UT0182500
"147,926",Bismarck Police Department,MO0940100
"147,926",Bonne Terre Police Department,MO0940200
"147,926",Desloge Police Department,MO0940300
"147,926",Farmington Police Department,MO0940600
"147,926",Iron County Sheriff's Department,MO0470000
"147,926",Leadington Police Department,MO0941600
"147,926",Missouri State Highway Patrol,MOMH00006
"147,926",Pilot Knob Police Department,MO0470200
"147,926",Potosi Police Department,MO1110300
"147,926",St. Francois County Sheriff's Department,MO0940000
"147,926",Ste. Genevieve City Police Department,MO0970100
"147,926",Ste. Genevieve County Sheriff's Department,MO0970000
"147,926",Viburnum Police Department,MO0470500
"147,926",Washington County Sheriff's Department,MO1110000
"147,924",Boone County Sheriff's Office,KY0080000
"147,924",Campbell County Police Department,KY0190200
"147,924",Kenton County Police Department,KY0590500
"147,899",CASEYVILLE POLICE DEPARTMENT,IL0820400
"147,899",COLLINSVILLE POLICE DEPARTMENT,IL0600300
"147,899",COLUMBIA POLICE DEPARTMENT,IL0670100
"147,899",EAST ST. LOUIS POLICE DEPARTMENT,IL08207A5
"147,899",EDWARDSVILLE POLICE DEPARTMENT,IL0600500
"147,899",FAIRVIEW HEIGHTS POLICE DEPARTMENT,IL0822400
"147,899",FREEBURG POLICE DEPARTMENT,IL0820800
"147,899",GRANITE CITY POLICE DEPARTMENT,IL0600700
"147,899",ILLINOIS STATE POLICE DEPARTMENT,IL0609900
"147,899",MADISON COUNTY SHERIFF'S DEPARTMENT,IL0600000
"147,899",MADISON POLICE DEPARTMENT,IL0601100
"147,899",MONROE COUNTY SHERIFF'S DEPARTMENT,IL0670000
"147,899",O'FALLON POLICE DEPARTMENT,IL0821600
"147,899",PONTOON BEACH POLICE DEPARTMENT,IL0602100
"147,899",TROY POLICE DEPARTMENT,IL0601400
"147,899",WATERLOO POLICE DEPARTMENT,IL0670200
"147,882",California Dept. of Justice,CA0349496
"147,882",California Highway Patrol,CA0349965
"147,882",Fresno Police Department,CA0100500
"147,882",Fresno Sheriffs Office,CA0100000
"147,870","Operation UNITE - Big Sandy Task Force, 100 Resource Dr, Prestonsburg, KY 41653",KY1001200
"147,870","Operation UNITE - Cumberland Task Force, 350 CAP Dr, London, KY 40744",KY1001200
"147,852",Catoosa County Sheriff's Office,GA0230000
"147,852",Chattooga County Sheriff's Office,GA0270000
"147,852",Dade County Sheriff's Office,GA0410000
"147,852",Lafayette Police Department,GA1460100
"147,852",Walker County Sheriff's Office,GA1460000
"147,833",Franklin Police Department,KY1070100
"147,833",Logan County Sheriffs Department,KY1070900
"147,833",Russellville Police Department,KY0710100
"147,833",Simpson County Sheriffs Department,KY0710900
"147,814",California Highway Patrol,CA0349965
"147,814","Department Of Justice, Bureau of Investigation",CA0349496
"147,814",Gilroy Police Department,CA0430400
"147,814",Hollister Police Department,CA0350100
"147,814",Morgan Hill Police Department,CA0431000
"147,814",San Benito County Sheriff's Department,CA0350600
"147,783",Arnolds Park Police Department,IA0300000
"147,783",Clay County Sheriff's Office,IA0210000
"147,783",Dickinson County Sheriff's Office,IA0300000
"147,783",Emmet County Sheriff's Office,IA0320000
"147,783",Estherville Police Department,IA0320100
"147,783",Lake Park Police Department,IA0300000
"147,783",O'Brien County Sheriff&apos;s Office,IA0710000
"147,783",Okoboji Police Department,IA0300000
"147,783",Osceola County Sheriff's Department,IA0720000
"147,783",Sheldon Police Department,IA0710300
"147,783",Spencer Police Department,IA0210100
"147,783",Spirit Lake Police Department,IA0300100
"147,761",Desoto Parish Sheriffs Office,LA0160000
"147,761",Red River Parish Sheriffs Office,LA0410000
"147,761",Sabine Parish Sheriffs Office,LA0430000
"147,718",Amador County DA,CA003013A
"147,718",Amador County Sheriff's Office,CA0030000
"147,718",California Highway Patrol,CA0039995
"147,718",Ione Police Department,CA0030200
"147,718",Jackson Police Department,CA0030300
"147,712",Barren Co. Sheriff's Department,KY0050000
"147,712",Edmonson Co. Sheriff's Department,KY0031000
"147,704",Arcola Police Department,IL0210100
"147,704",Charleston Police Department,IL0150200
"147,704",Coles County Sheriff's Office,IL0150000
"147,704",Douglas County Sheriff's Office,IL0210000
"147,704",Eastern Illinois University Police Department,IL0150600
"147,704",Illinois State Police,IL0100900
"147,704",Mattoon Police Department,IL0150300
"147,702",Arlington Police Department,GA0190100
"147,702",Clay County Sheriff's Office,GA0300000
"147,702",Colquitt Police Department,GA1000100
"147,702",Donalsonville Police Department,GA1250100
"147,702",Early County Sheriff's Office,GA0490001
"147,702",Edison Police Department,GA0190200
"147,702",Fort Gaines Police Department,GA0300100
"147,702",Georgia Bureau of Investigation,GAGN11500
"147,702",Miller County Sheriff's Office,GA1000000
"147,702",Pataula Judicial Circuit District Attorney,GA120015A
"147,702",Randolph County Sheriff's Office,GA1200000
"147,702",Seminole County Sheriff's Office,GA1250000
"147,701",California DOJ- Division of Law Enforcement,CA0349496
"147,701",El Dorado County Sheriffs Department,CA0090000
"147,701",South Lake Tahoe Police Department,CA0090200
"147,695",Albemarle County Police Department,VA0020300
"147,695",Charlottesville Police Department,VA1020000
"147,695",University of Virginia Police Department,VA0020100
"147,695",Virginia State Police Department,VAVSP0000
"147,652",Bureau of Narcotic Enforcement/State Department of Justice,CA0339400
"147,652",Montclair Police Department,CA0360500
