CERTIFICATIONID,DESCRIPTION,JUSTICE
"147,382",Donation to law enforcement museum,500
"147,382","Say ""no to drugs&quot; awareness expenses",790
"147,376",National Law Enforcement Museum,"1,000"
"147,376",St. Louis Regional Crime-Crimestoppers Dues,500
"147,342","CRIME PREVENTION PROGRAMS -D.A.R.E., C.P.A.","1,219"
"147,292",ST. LOUIS REGIONAL CRIME STOPPERS,100
"147,288","Bicycle Program (Refunded in ""Other Income&quot;)","1,246"
"147,288",Public Education Awareness Items,551
"147,260",Printing and publishing gang awareness handbook for community education,"12,600"
"147,232",Proforma - Citizens Academy,144
"147,204",Back to School Safety Education,"1,043"
"147,204",Gun Turn In (South Suburban Chiefs of Police),250
"147,204",National Night Out Against Crime,702
"147,204",Police Elderly Service Organization (TRIAD),130
"146,952",St. Louis Regional Crimestoppers,500
"146,908",Drug and Crime Prevention,"1,277"
"146,884","RDJ Specialties, Drug Awareness Materials. ""Say No to Drugs&quot; neck lanyards and frisbees.","3,496"
"146,866",DARE Program/Police Shield Badge Stickers,624
"146,725",Peace Learning Center,"134,058"
"146,725",Ten Point Coalition,"50,000"
"146,558",Positive Promotions,"2,257"
"146,238",BOYS SCOUTS OF AMERICA-LEARNINGFOR LIFE SEMINAR-PARTICIPANT FEE FOR 100 YOUTHS,500
"146,179",public,327
"146,103",West Mifflin Area School District & Private Schools Drug Prevention Programs,"1,606"
"146,062","Anti-drug, alcohol and gang programs","12,920"
"146,062",Neighborhood Watch Clothing/Equipment,"1,574"
"145,956",CITY OF SEATTLE - DEPARTMENT OF NEIGHBORHOODS,"10,000"
"145,956",CITY OF SEATTLE - MAYOR'S OFFICE,"10,000"
"145,894",Neighborhood Watch Hall rental,75
"145,893",D.A.R.E. Programs,"5,204"
"145,814",Boys& Girls Club of Moultrie / Colquitt County,"5,000"
"145,772",National Law Enforcement Memorial,500
"145,530",District Attorney's Senior BallExpo - is an educational program for senior citizens in DeKalb County,"18,307"
"145,445",JD Middle School Safety and Violence Education Program - graduation t shirts,"1,890"
"145,391",DARE,"9,913"
"145,357",Emporia High School After Grad,250
"145,357",Emporia High School After Prom,250
"145,357",Northern Heights After Prom,250
"145,332",2012 Annual Assessment to Support Crime Stoppers of Puget Sound,"4,416"
"145,308","Drug Prevention in the community, Drug awareness youth supplies","4,358"
"145,286",Community Initiative to Reduce Gun Violence,"15,000"
"145,286",Rise Sister Rise,"2,400"
"145,247",4 Imprint - Allegheny County VFD Convention - sports bottles,270
"145,247",Steel Valley Council of Governments - Commercial Traffic Enforcement Program,"2,398"
"145,247",West Homestead Volunteer Fire Department - Allegheny Country VFD Convention Program,125
"145,244",ALBANY BOYS & GIRLS CLUB,205
"145,244",ALBANY COUNTY TRAFFIC SAFETY HOLIDAY PROGRAM,300
"145,244",CARNIVAL ON THE HILL,397
"145,244",HURRICANE SANDY RELIEF EFFORTS,430
"145,244",PEACE ON THE STREETS CAMPAIGN,376
"145,244",SNUG - GUN BUY BACK PROGRAM,100
"145,240",Screen printing and T-shirts for D.A.R.E. and E.D.G.E. programs,"9,286"
"145,240",South Suburban Assn of Police Chiefs Gun BuyBack Program (reimbursed in 2013),250
"145,236","Boys and Girls Club of Rochester, INC","18,500"
"145,236","Rochester City School District, Pencil Partners",910
"145,236",The Center for Youth,"2,000"
"145,223",DARE: workbooks and training materials,750
"145,217",MOSELF,300
"145,217",Singleton Education and Communication,"1,000"
"145,197",African American Cultural Center of the Capital Region,490
"145,197","African American Cultural Center of the Capital Region/Urban Arts Experience, Inc.",475
"145,197",Albany PAL,"4,642"
"145,197","Gametight Management & Youth Empowerment, Inc.",843
"145,197",Hook Kids on Golf,"3,236"
"145,191",Hendricks County Substance Abuse Task Force,"1,494"
"145,150",Red Cross Heroes Breakfast,125
"145,145",Red Cross Heroes Breakfast,175
"145,139",Duquesne School,748
"145,139",West Mifflin DARE Sponsorships,388
"145,133",WHPD Community Awareness,"1,284"
"145,132",Foundations for Franklin Coutny,"1,352"
"145,118",Douglas County Educational Foundation,"6,000"
"145,118",National Law Enforcement Officer's Memorial Fund: Museum,500
"145,118",Resolution Works: Rethinking Drinking Program (Reimb. 2011FY Expenses),"8,362"
"145,100",Monroe Community Center furniture and carpet,"5,316"
"145,071",Children Bicycle Helmets for Schenectady County Traffic Safety Program,993
"145,071",NYS Sheriff's Association Camp-Building Fund,"5,000"
"145,071",Schenectady County Gun Buy Back Program,"15,200"
"145,039",Promosed LLC - Bicycle Safety,240
"145,007",Child Abuse Prevention Services,"4,208"
"145,007",Cleary School for the Deaf,"10,000"
"145,007",Council for Unity,"30,000"
"145,007",HUGS Inc. Gang Awareness,"5,000"
"145,007",Hofstra University - Gang Conference,"2,500"
"145,007",Hope House Ministries,"4,828"
"145,007",Mothers Against Drunk Driving,"40,974"
"145,007",Suffolk County Coalition Against Domestic Violence,"10,000"
"145,007",Suffolk County Court Employees Association,"30,000"
"145,007",Suffolk County Police Athletic League,"23,867"
"145,007",Suffolk County Youth Bureau,"3,500"
"145,007",United Way of Long Island,"10,000"
"144,967",CRIME STOPPERS,"30,000"
"144,967",DO THE RIGHT THING,"5,000"
"144,955",National Law Enforcement Officers Memorial Fund,"1,000"
"144,943",CENTER FOR FAMILY OUTREACH RENT,"18,747"
"144,943",CHILD ADVOCACY CENTER AUDITING,"1,733"
"144,943",CHILD ADVOCACY CENTER INSURANCE,"4,654"
"144,943",CHILD ADVOCACY CENTER INTERNET/CABLE,"1,174"
"144,943",CHILD ADVOCACY CENTER MISCELLANEOUS OPERATING EXPENSES,"1,932"
"144,943",CHILD ADVOCACY CENTER MORTGAGE,"13,230"
"144,943",CHILD ADVOCACY CENTER PRINGING/COPYING,985
"144,943",CHILD ADVOCACY CENTER UTILITIES,"1,292"
"144,928","Hacky sacks, wrist bands for community policing",348
"144,928",Neighborhood crime watch signs,200
"144,928",Neighborhood crime watch signs,370
"144,928",T-shirts for community policing,500
"144,915",Concerns of Police Survivors,300
"144,915",Will county Child Advocacy Center,400
"144,908",National Law Enforcement Museum/Contribution,250
"144,908",Niagara Falls Block Club/Crime Night Out,"1,546"
"144,867",Backstoppers,500
"144,862",Pattonville High School,600
"144,839",National Night Out,517
"144,815",DARE SUPPLIES,"2,656"
"144,790",Mantua Township Police Explorers,250
"144,790",Washington Township Police Explorers,250
"144,727",Stop DWI Program,550
"144,718",Chief for a day,198
"144,704",Print Drug Take Back Advertisement Posters,204
"144,704",Purchase Gift Cards for Drug Take Back Program,500
"144,682",Every 15 Minutes (Drugged Driving High School Program),808
"144,681",National Night Out Community Event/Drug Abuse Prevention,"1,624"
"144,649",Vine Community Development,"10,000"
"144,638",Red Ribbon Supplies,"1,130"
"144,635","K9 Emergency Response Team, cases WPD 12-497 & WPD 10-11163",700
"144,599",Supplies for Drug Demo in Schools,40
"144,580",supplies for youth programs (172723-350),759
"144,580",supplies for youth programs (172730-350),862
"144,566",Drug Education Event / Harveysburg Police Department,500
"144,566",Drug Education Program / Big Brothers & Big Sisters of Cincinnati,"10,000"
"144,566",Drug Education Program / Warren County Educational Service Center,"2,200"
"144,531",EAC,"14,140"
"144,531",EOC,"5,000"
"144,531",Family & Children Association,"28,372"
"144,531",Hofstra University,"3,000"
"144,531","Long Beach Reach, Inc","14,178"
"144,531",Molloy College,"24,587"
"144,531",NAACP,"2,729"
"144,531",Peace After School Program,"63,247"
"144,520","Boulder Homeless Shelter $1,000 donation to support programs that serve over 1,700 persons each year, purchased bus tokens for Shelter clients. Reimbursement for After Prom $3,000 for Boulder High Schools. The 2012 After Prom will be the 18th annual safe event. The event is a drug and alcohol free alternative to unsupervised home and hotel parties. Reimbursement of $500 to train School Resource","4,000"
"144,520",Officers and the community in various restorative justice practices.,500
"144,512",Crime Stoppers,"3,000"
"144,512",Greater West Bloomfield Coalition,"10,000"
"144,512",Optimist Club Of West Bloomfield,"1,750"
"144,512",West Bloomfield Youth Assistance,"4,915"
"144,428",Cardinal Stritch High School Operation Graduation,300
"144,428",Clay High School Operation Graduation,300
"144,428",Clay High School for Motivational speaker,"1,000"
"144,428",DARE Graduation T-shirts and Supplies,"4,421"
"144,428",International Boxing Club anti drug program,"1,000"
"144,428",Mountain Mentors,350
"144,428",Ohio Crime Prevention Coalition,100
"144,428",Oregon Senior Center,150
"144,428",Red Ribbon Week,517
"144,408",Crime Stoppers,"5,000"
"144,405",Leadership Dekalb - prevention education youth plaques,777
"144,405",Pal Plus - Purchased banner,280
"144,379",Community Intramural Basketball League,15
"144,349",National Law Enforcement Officers Memorial Fund,"5,000"
"144,342",Drug Free Program with Tri-City Valley Cats/Gun Buy Back Program,"12,501"
"144,327",DARE (Area School Program),976
"144,293",Parents for Megan's Law - August,"6,710"
"144,293",Parents for Megan's Law - July,"6,710"
"144,293",Parents for Megan's Law - June,"6,710"
"144,228",DARE Program,"3,720"
"144,168",Ambassador Company,385
"144,162","National Law Enforcement Museum (Officers Memorial Fund, Inc.)",100
"144,127",Bethlehem Police Department Explorer Post,"2,114"
"144,071",Gwinnett Coalition for Health and Human Services,"2,884"
"143,924",Drug Education materials,"4,989"
"143,882",Character Education,"7,787"
"143,857",DARE,"1,296"
"143,802",Child Advocacy Center District 5 Cook County,500
"143,781",Bond County Community Unit 2 School,710
"143,770",B.E.S.T. (Bringing Essex County Strengths Together),907
"143,769",City of Livonia - Passport to Safety and Backpack Program (Adjusted Bal. per DOJ),"8,564"
"143,725",St. James R1 School District Anti Drug Campaign,"2,500"
"143,695",Greater Cincinnati Crime Stoppers,500
"143,694","Vocational Rehabilitation Impact Center-For the purchase of transportation cards for program participants, allowing the participants to commute between housing, jobs, training, and counseling services.","90,000"
"143,686",Christmas Shop with a Cop Program,"2,000"
"143,686",Self Defense for Women - Instructor,"1,485"
"143,649",Franklin Academy High School,500
"143,649",Malone Middle School,250
"143,649",Village of Tupper Lake,"1,511"
"143,610",CrimeStoppers - Crime Prevention organization,600
"143,610",Kidstar Safety - Crime Prevention products,285
"143,610",Nimco - Crime Prevention products,595
"143,610",Northeast Community Challenge - Crime Prevention organization,600
"143,610",Pinnacle Promotions - Crime Prevention products,"1,445"
"143,610",Rape Crisis and Abuse Center,600
"143,610",Wristband Express - Crime Prevention products,71
"143,560",Chemung County Victim Advocate Program,"1,950"
"143,472",Jefferson County Drug Court Donation,"5,000"
"143,467",SUPPLIES FOR DRUG aWARENESS,"1,875"
"143,457",Red Ribbon Materials,"1,121"
"143,351",Deerfield Beach Police Athletic League,"60,000"
"143,351",Florida Atlantic University,"6,010"
"143,327","National Night Out- supplies for event,T-shirts and Book Bags","14,150"
"143,310",East Side Block Watch,350
"143,294",Dare Program Avonworth School,"1,026"
"143,147",(2) red ribbon week,880
"143,147","(4) school programs(topics-drugs, alcohol,& bullying)","2,796"
"143,111",DARE products,"2,534"
"143,111",National Neighborhood Watch program,694
"143,111",Sign & Billboard lease  (drug awareness and education),"4,917"
"143,111",St. James School District -DARE program,"2,500"
"143,111",Teen Saver (drug awareness program),"2,193"
"143,071","""GUIDE&quot; drug education & awareness program for 8th graders, non-profit","15,810"
"143,065",Chillicothe Paints Alcohol/Drug Awareness,750
"143,065",Ross County Dare Program,791
"143,017","Freehold Borough Police "" Youth Police Academy&quot;","1,081"
"142,956","Community In Schools, Cameron County (Camp Fees)",270
"142,956",Operation Crackdown (Demolish Crackhouses),"18,441"
"142,956",Texas Challenge Academy,"53,130"
"142,956",Texas Starbase,"92,694"
"142,865",Palmer Drug Abuse Program,"2,500"
"142,770",Community Outreach (juvenile diversion graduation; purchased frames for diplomas),102
"142,770",DEA National Take Back Day drug lock boxes,"2,154"
"142,770","Drug & gang education &amp; awareness programs (anti-heroin public ad campaign ""Not Even Once&quot; contractual expenses","7,248"
"142,768","Expansion of E3 High/Low Ropes Course for Civil Operations: Contech Engineered Solutions - The leadership Reaction course was built by staff of The AKNG CDSP.  The leadership reaction course was the expansion to the AKNG E3 Challenge Course.  This course is filling a long needed element to the course for team building.  The LRC is required by all JROTC students in AK as a part of their annual req",429
"142,768",Expansion of E3 High/Low Ropes Course for Civil Operations: Air Liquide (See details of purpose above),303
"142,768",Expansion of E3 High/Low Ropes Course for Civil Operations: Klondike Concrete (See details of purpose above),"1,488"
"142,768",Expansion of E3 High/Low Ropes Course for Civil Operations: Lowe's (See details of purpose above),"1,648"
"142,768",Expansion of E3 High/Low Ropes Course for Civil Operations: Spenard Builders Supply (See details of purpose above),"4,644"
"142,768",Expansion of E3 High/Low Ropes Course for Civil Operations: SteelFab (See details of purpose above),"4,192"
"142,768","High Five Adventure Learning Center: The expenditure was used for the annual safety inspection of the Alaska National Guard E3 Ropes course.  The ropes course increased drug awareness for resistance through a evidenced based program that serviced 1183 community members and 19 Community Based organizations.http://high5adventure.org/training/certification.html","13,600"
"142,768","Robotronics Inc.: Used to purchase equipment (KC-7 Cruiser with standard motor package), cruiser light bar, voice modifier and shipping fees.  Used in classroom settings for demonstration purposes.  http://www.robotronics.com/","9,664"
"142,768","Shipley Communication: Purchased materials (booklets) for Four Lenses Training which is used as a team building tool for teachers in schools and on military bases to increase resiliency and drug resistance among educators. http://www.shipleycommunication.com/training/team_building/","1,241"
"142,717",MADISON COUNTY DRUG COLAITION,"2,000"
"142,715",YOUTH RESOURCES TEEN POWER OF EVANSVILLE INDIANA,"4,000"
"142,694",Explorer - uniforms and equipment,"1,359"
"142,623",Community Resource Coordinator,"23,076"
"142,623",Crime Victim Liaison Program,"9,588"
"142,613",Narcotics Interdiction,"1,000"
"142,612",Narcotics Interdiction,"1,000"
"142,611",Narcotics Interdiction,"3,850"
"142,605",Narcotics Interdiction,"1,000"
"142,604",Narcotics Interdiction,"1,000"
"142,603",Narcotics Interdiction,"3,850"
"142,438",Drug Awareness Program- Goodwell Public Schools,464
"142,339",LORENA INDEPENDANT SCHOOL DISTRICT ANTI-BULLYING  ANTI-DRUG PAMPLETS,715
"142,306",MERIDIAN ST. BAPTIST MINISTRIES,711
"142,306",TRINITY OUTREACH,"1,750"
"142,303",DARE Materials - Creative Product Sourcing,"2,288"
"142,282",9-11 Commemorative Badges and Wreath,"2,320"
"142,282","Hurricane Season In House Conference Books and Manuals , Lanterns, Toaster Oven, Microwave, AeroBeds, Water, Batteries,  Portable Air Conditioner , Shelf and Hole Punch for Citizens Police Academy,","2,275"
"142,282","National Night Out Whistles, GloSticks, School Supplies",598
"142,282","Red Ribbon Day Sunglasses, Bracelets",765
"142,258",Drug Demand Reduction,"3,759"
"142,254",Guadalupe County Childrens' Advocacy Center (for rent/anual dues),"4,950"
"142,246",Crime Stoppers,"5,000"
"142,246",Megan Napier Foundation - DUI Education Training in Local Schools for Underage Drinking.  Foundation provided training to several school age children.,"3,000"
"142,200",Crime Watch Expenses,"5,630"
"142,200",PAL Program Expenses,"33,075"
"142,200",Police Officer's Assistance Trust,"1,000"
"142,197",Children Advocacy Center of Laredo,450
"142,197",LISD Campus Crimestoppers,"2,000"
"142,197",Laredo Crimestoppers Inc.,"1,500"
"142,197",Rio Grande International Study Center,500
"142,197",South Texas Council on Alcohol and Drug Abuse,"5,000"
"142,197",Vidal M. Trevino Magnet School,"2,280"
"142,197",Webb County Family Drug Treatment Court,200
"142,187",Crime Prevention,270
"142,187",Drug Prevention,"4,977"
"142,186",The Bay Area Chamber,"5,000"
"142,178","""Do the Right Thing&quot; Police Partnership Program","1,994"
"142,178",MacGruff Halloween Safety Program,411
"142,178",National Night Out-Family Safety Program,374
"142,114",Drop Box for disposal of unused Prescription Drugs,460
"142,099",Alliance for Children,"5,000"
"142,099",Citizens on Patrol - Desktop Computer,"1,250"
"142,099",GPPD Boxing Program,"8,707"
"142,099",Unidos - Police Community Outreach to Spanish Speaking Citizens,100
"142,098",Bonner County Drug Court,"1,531"
"142,097",Bonner County Drug Court,"1,531"
"142,081",COP (Citizen on Patrol) Program,"20,000"
"142,080",MOVIE WITH A COP SUMMER PROGRAM,559
"142,070",Pinellas Park Police Explorers Post # 912,"3,592"
"142,035",Children Summer Camp Program,"31,257"
"142,035",Domestic Violence Campaign,"3,411"
"142,018","Community Policing equipment, printing, supplies, school sponsorship","56,734"
"141,990",Imperial County Sheriff's Activity League,"1,500"
"141,980",COPS AND KIDS/COMMUNITY OFFICERS IN PUBLIC SCHOOLS,"5,170"
"141,979",Acquisition of Message Boards,"51,120"
"141,979","Drug Awareness, Resistance and Education (D.A.R.E. Program)","4,675"
"141,979",Megaphones for Margate Middle Schoool,999
"141,979",National Night Out/Safe Neighborhood Program,"12,150"
"141,968",Center Elementary Education Materials,652
"141,931",Children's Defense Fund,"1,530"
"141,931",Seminole County P.A.L,"1,000"
"141,924","Brotherly Love Social Services, Inc.","10,000"
"141,924","Broward Partnership for the Homeless, Inc.","50,000"
"141,924","Holocaust Documentation and Education Center, Inc.","25,000"
"141,917",BOY SCOUTS OF AMERICA-BIKES DONATIONS,"2,280"
"141,880",240 Youth and adult safety T shirts,"1,440"
"141,880",40 Neighborhood Crime Watch Signs,"1,084"
"141,880",Community service crime prevention/drug awareness/education give aways,"6,725"
"141,880",Neighborhood safety speed limit signs,810
"141,828",Kid Print Program,"1,759"
"141,828",Potter County Citizens Academy,"1,259"
"141,796",Citizen's Academy,905
"141,796",Explorer Program,"2,530"
"141,789",Anti-Violence Gifts for Guns Rally,"5,724"
"141,789",Black on Black Crime Task Force cleaning services (vocational training for at risk youth) of the Reichert House,"2,280"
"141,773",DONATION TO IDAHO METH PROJECT,"5,458"
"141,756","Orange Co Public Schools, Apopka High School: 11 warm-up suits for Girl's Soccer","3,259"
"141,750","CDS Family Behavorial Health Services, Inc.","3,000"
"141,732",RICKY'S PAINTBALL: EXPLORER TRAINING EXPENSE,640
"141,732",UNIFORMS OF TEXAS/PREMIER UNIFORMS ; EXPLORER UNIFORM EXPENSES,"1,535"
"141,729",Casa de Misericordia (Domestic Violence Shelter-Reimbursement for Supplies & Equipment),"30,000"
"141,729","Drug Free Campaign (Anti-drug abuse, domestic violence, DWI and Child Abuse awareness pamphlets and give away items to be used during different events e.g. for schools, conferences, outdoor events)","30,064"
"141,729",South Texas Council on Alcohol and Drug Abuse (STCADA - reimbursement for various operational items),"48,667"
"141,729",Voz de Ninos Organization (Advocates for Best Interest of Neglected Children - Reimbursement for Supplies & Equipment),"5,098"
"141,636",Literature regarding drug awareness to distribute to community,337
"141,589",Advocacy Center for the Children of El Paso,280
"141,589",Crime Stoppers of El Paso,"7,500"
"141,589",T-Shirts for Helping Healing Hearts,"3,240"
"141,589",Teen Dating Violence,500
"141,565",Minuteman Youth Camp T-shirts,"1,836"
"141,543",Explorer Equipment,594
"141,489",Citizen Observer,"6,500"
"141,480",Prevention & treatment giveaways,"2,439"
"141,480",Red Ribbon,"3,433"
"141,480",Super Star Kids,502
"141,472",National Law Enforcement Museum,500
"141,422",Junior Police Stickers,450
"141,422","Summer ""Kicks&quot; Program (soccer) equipment",137
"141,422",Wristbands for Kids Program,"1,900"
"141,409",Computer Cop Software (Promotional cd's for internet safety),"5,680"
"141,409",Crime Stoppers,"10,000"
"141,338",Imperial Scott,399
"141,320",drug education programs and education,"4,936"
"141,268",EdAdvantage B-Safe Books - Deputy & Civilian in School Reading Program,600
"141,268",PAL Athletic Programs,"15,848"
"141,268",Take Stock in Children - Deputy Mentoring Program (at risk kids),500
"141,265","M.A.G.I.C. (Mentoring,Advising,Guiding,Instructing,Children) Program","26,640"
"141,259","North Coast Prevention Coalition. CBO requested assistance in printing flyers to advertise their ""Celebration of Sober and Drug Free Choices&quot; event. 5,000 flyers were printed at Ideas Cabrera at the cost of $368.05.",368
"141,241",Expense for Celebrating Life - March of Dimes,"1,500"
"141,241",Expenses for Randall County Citizens Academy,"2,370"
"141,241",Expenses for Randall County Student Academy,"1,350"
"141,241",Family Concepts - Books for preschool,291
"141,241",Haley Printing - Jr. deputy badges,562
"141,241",Sponsorship of Golden Spread Council - Good Scout program,"2,000"
"141,241",Sponsorship of Sharing Hope Jail Ministry,500
"141,241",Sponsorship of United Way Community program,160
"141,241",Sponsorship of WT Youth Football league,800
"141,156",Ambassador Publishing - Anti drug literature printed for distribution in Galax Elementary School,435
"141,155","Citizen Observer Text a Tip Annual fee, software package that allows citizens to text tips to Police Department anonymously, a portion of Certified Crime Prevention Community Program","1,800"
"141,108",Arlington County Treasurer (bus driver for 6 hours for 10/14/2012 soccer event),240
"141,108",Dulles Limo (transportation to 10/14/2012 soccer event),500
"141,108",Fairfax Sportsplex (field rental for 10/14/2012 soccer event),500
"141,108",ForTec Medical Inc. (tattoo removal),"5,877"
"141,108",LA T-shirt (100 t-shirts for attendees of 10/14/2012 soccer event),600
"141,100","Crime Prevention materials, including child ID kits, window warning decals, door hangers, National Night Out flyers, badge stickers, and newsletters.","2,588"
"141,061",Crime Stoppers,"2,000"
"141,050",Drug and Crime Prevention Education reimbursement and programs.,"3,400"
"140,985",Kicks for Guns - gun buy back program,"6,100"
"140,896",GIVE (Gang Intervention and Violence Education) Program- purchase work booklets for classroom instruction.  Written approval was obtained from DOJ 2/29/2012,"4,714"
"140,895",Drug Education and Awareness Program Recognition,"1,238"
"140,895",Drug Education and Awareness Program Recognition,8
"140,895",Drug Education and Awareness Program and Event Supplies,"1,897"
"140,879",Gun Buy Back Program,"5,000"
"140,856",Challenge coins for distribution to the community (purchased from SymbolArts),"2,980"
"140,773",D.A.R.E.- Police Explorers,"1,480"
"140,662",Community Mediation training,"1,600"
"140,634","Lee Conlee House (supports domestic violence victims) New Roof $6,990.00, Computer Equipment $4,973.85, Security System $8,036.15","20,000"
"140,634",Rodeheavers Boys Ranch new roof for boys cottage (housing for troubled youths),"20,000"
"140,523",Drug Demand Reduction Conference Speakers KS Alliance for Drug Endangered Children,"2,500"
"140,453",Lenco Bearcat,"7,370"
"140,389",Family Connections - purchase drug educational and parenting handbooks,"1,000"
"140,283","Community Services Programs Inc: Crisis Response Unit which respond to assist the City of Tustin's personnel in dealing with traumatic incidents, usually with the victims and conduct debriefings for Tustin&apos;s personnel after major incidents such as Officer involved shootings.","2,000"
"140,169","TREATMENT PAMPHLETS, TABLECLOTH AND STORAGE CONTAINER FOR COMMUNITY PROGRAMS.","7,639"
"140,164",Ga. Northwestern Technical College (G.E.D. testing fees),114
"140,028",National Night Out and Gang Awareness Program,"5,648"
"139,978",Drug and crime prevention education and Anti-Gang information are given out to all the schools in Colleton County by our School Resource Officers,"1,586"
"139,937",National Law Enforcement Officer Memorial Fund,"10,000"
"139,921",Thomasville Parks & Rec/Communities in Schools - Teen Scene Program,"3,000"
"139,896",Rochester Villas Summer Programs for Youth,"4,690"
"139,877",Central Florida Safe T (Sexual Assault Forensic Examination Team),"5,840"
"139,758",Drug Abuse Resistant Education (D.A.R.E.) summer camp equipment,"7,910"
"139,755",Trenton Police Department Father & men Annual Community Day,"3,000"
"139,755",Trenton Police Department National Night Out - Community Awareness,"10,488"
"139,716",Murrieta Valley Unified School District (D.A.R.E. Program & Youth Court),"22,348"
"139,687",YMCA,"10,500"
"139,671",Bridge of Hope Child Advocacy Center,"4,000"
"139,584",Crime Stoppers,"10,000"
"139,492",Child Advocacy Center,830
"139,490",Pathway Society,"23,140"
"139,489","Community Based Programs: Shop with a Cop, Drug Store, Explorer Post, Center for Family Solutions.  Funds expended on school supplies, school uniforms, clothing, shoes, back packs, facility rental fees, agency displays, posters, maintenance fees, transportation costs for schools, anti-drug brochures, pamphlets, explorer academy, uniforms and housing fees for explorer academy.","13,175"
"139,479",National Black Coalition of Federal Aviation Employees (NBCFAE)-Promotes equality in the aviation industry and exposes youth to careers in aviation. The grant was used for a fund raising event for the Monanch School for homeless youth.,"1,500"
"139,479",National Veterans Transition Service-Provides workshops to assist veterans to transition back into civilian life through job readiness and life skills training. This grant was used to fund 10 training slots for a job readiness workshop.,"25,000"
"139,479","Palavra Tree-Provides alcohol, tobacco and other drug prevention, intervention, treatment and recovery services. The grant was used for office and art supplies, brochure printing, computers to support teen drug and alcohol recovery, curfew and truancy sweeps, and job readiness programming.","4,752"
"139,479","San Diego Crime Stoppers- Uses media and a tip line to solve crimes including murder, serial rapes and other serious felonies. The grant was used to purchase computers, furniture, office supplies and print materials.","21,646"
"139,479",San Diego Unified School District- Largest school district in San Diego County. The grant was used for exercise equipment for Madison High School to encourage and promote a healthy and active lifestyle.,"7,918"
"139,479",Social Advocates for Youth-Provides delinquency prevention and juvenile diversion programs. The grant funded expenses related to the Village of Promise program which mentors and conducts pro-social activities for the children of incarcerated parents who reside in high crime neighborhoods. The grant was used for operating and camp expenses.,"8,000"
"139,479","Stepping Stone- offers a variety of treatment and recovery programs. The grant was used for funded telephone, utilities and rent costs.","25,000"
"139,479","The San Diego Lesbian, Gay, Bisexual, Trans-gender Community Center-Provides case management, social activities, homeless youth support, counseling, health care referrals, Spanish speaking support groups, parent education and HIV related services to the LGBT community. The grant was used to fund a new Center telephone system.","9,860"
"139,479","VIP Mentors- Serves at-risk youths by providing educational, job readiness training and counseling. The grant was used to implement a Social Branding Campaign to prevent youth violence and gang involvement.","13,467"
"139,479","YWCA of San Diego County-Helps women, children, and families escaping domestic violence and homelessness overcome trauma, rebuild their lives, and achieve self-sufficiency. The grant was used for a bathroom remodel for a shelter for homeless women.","15,000"
"139,424","Youth Public Safety Academy, uniforms, supplies","3,710"
"139,417",Substance Abuse Task Force in Rural Appalachia (S.A.T.I.R.A.) - Drug Prevention awareness; advertisements/billboards; handouts/materials; guest speakers; training; SATIRA coordinator salary,"82,515"
"139,405",Vallejo Police Activities League (P.A.L.),"5,151"
"139,337",Police Athletic League,"200,054"
"139,306",EL MONTE PD CARE PROGRAM,"6,509"
"139,306",EL MONTE PD TORCH PROGRAM,"6,099"
"139,305","National Law Enforcement Officers Memorial Fund, for the building of the National Law Enforcement Museum","3,000"
"139,301",Anaheim Family Justice Foundation / Anaheim PD Crime Survivors,"3,000"
"139,301",Anaheim PD Community Services Program (Victim-Witness assistance),"7,000"
"139,298","Alcohol Justice, Safety and Prevention Program for Marin Schools and Community","3,000"
"139,291",National Law Enforcement Museum,"3,000"
"139,270",Family Day in the Park,"7,703"
"139,232","GREATER NEW YORK COUNCILS, EXPLORING.......","14,534"
"139,232",POLICE ATHLETIC LEAGUE INC.,"66,706"
"139,206",Citizens Academy and COPS Program,"8,255"
"139,187",National Law Enforcement Museum,"10,000"
"139,130",DRUG EDUCATION PROGRAM,"1,049"
"139,127",Alamance County Fallen Heros Memorial,"12,500"
"139,114",Win-Win Resolutions Inc. Operational Expenses,"4,232"
"139,088",Bureau of Animal Regulation and Care,"120,000"
"139,088",Operation Gang Together,"55,664"
"139,087",Domestic Violence Coalition,200
"139,087",Somerset Police Athletic League Transport youths,225
"139,065",Aiea Na Ali'i Project Graduation (for Aiea High School),"1,867"
"139,065",Blacks in Government (for Radford High School),"1,089"
"139,065",Family and Friends of Castle,"2,000"
"139,065",Friends of Kailua High School,"1,495"
"139,065",Friends of Kaiser Parent Teacher Student Association,"2,000"
"139,065",Halau Ku Mana New Century Public,"2,213"
"139,065",Haleiwa Main Street (for Waialua High School),"2,000"
"139,065",Hanalani School,792
"139,065",Hawaiian Mission Academy,"1,089"
"139,065",Iolani School,840
"139,065",Kaimuki High School PTA,"3,599"
"139,065",Kalaepohaku Project Graduation 2012 (for Saint Louis School),"2,000"
"139,065",Kalaheo High School PTSA,"2,000"
"139,065",Kalani High School Association,"2,000"
"139,065","Le Jardin d'Enfants, Inc. (for Le Jardin Academy)","1,342"
"139,065",Maryknoll School,"1,961"
"139,065",McKinley High School PTSA,"4,000"
"139,065",Mid-Pacific Institute,"2,000"
"139,065","Mililani High School SPADA, Inc.","2,000"
"139,065",Moanalua High School PTSA,"2,000"
"139,065",Nanakuli Alumni Association,"1,416"
"139,065",North Shore Career Training Corporation (for Kahuku High School),"2,000"
